         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57537.348791 19.401649      NaN   -21    21 c    0   2.78 186.44114 12.66357  6493.32  5936.61 3.98 3.57 -87.1 -0.455    19.51 21.50 02a57537o0244c
57537.360186 19.510313      NaN    -8    19 c    0   3.34 186.44114 12.66357  6511.68  5820.63 4.00 3.60 -85.4 -0.441    19.50 21.49 02a57537o0262c
57537.371576 19.569016      NaN   -44    18 c    0   2.72 186.44114 12.66357  6473.78  5878.60 3.90 3.53 -88.0 -0.439    19.50 21.46 02a57537o0279c
57543.312746 19.454622      NaN   -42    20 c    0   2.71 186.44114 12.66357  6446.61  4559.33 4.04 3.82 -89.2 -0.460    19.50 21.52 02a57543o0203c
57543.325844 19.302877      NaN   -40    23 c    0   2.05 186.44114 12.66357  6428.24  4521.41 3.97 3.83 -74.0 -0.457    19.50 21.52 02a57543o0227c
57543.353378 18.967180      NaN    28    22 c    0   2.09 186.44114 12.66357  6509.14  4483.77 3.92 3.76 -81.4 -0.448    19.41 21.39 02a57543o0269c
57543.367626 19.510313      NaN   -30    19 c    0   2.40 186.44114 12.66357  6474.56  4540.86 3.83 3.74 -80.9 -0.456    19.37 21.31 02a57543o0291c
57547.305177 19.351140      NaN     6    20 c    0   2.49 186.44114 12.66357  8999.79  4637.12 4.40 3.77  76.7 -0.457    19.51 21.54 02a57547o0142c
57547.317861 19.334813      NaN     7    20 c    0   2.18 186.44114 12.66357  8984.68  4598.82 4.48 3.84  78.4 -0.431    19.51 21.56 02a57547o0165c
57574.262343 19.128787      NaN     6    25 c    0   2.06 186.44114 12.66357  5935.18  5709.97 4.02 3.65  82.6 -0.475    19.24 21.00 02a57574o0047c
57574.271998 19.226921      NaN     8    22 c    0   2.55 186.44114 12.66357  5915.83  5669.68 3.99 3.59  89.5 -0.463    19.38 21.28 02a57574o0066c
57574.284152 19.014394      NaN    15    25 c    0   1.95 186.44114 12.66357  5971.90  5746.07 3.98 3.61  88.6 -0.466    19.38 21.28 02a57574o0090c
57574.298256 19.351140      NaN    -6    22 c    0   2.33 186.44114 12.66357  5990.61  5629.22 3.98 3.69 -85.0 -0.456    19.34 21.24 02a57574o0118c
57574.311130 19.183773      NaN    11    22 c    0   2.89 186.44114 12.66357  5954.86  5686.06 3.94 3.59 -86.4 -0.446    19.32 21.21 02a57574o0143c
57578.256339 18.757738      NaN   -13    38 c    0   2.28 186.44114 12.66357  8712.33  5465.68 4.32 3.59  83.9 -0.446    18.71 20.01 02a57578o0035c
57578.262327 19.169763      NaN   -46    26 c    0   3.66 186.44114 12.66357  8694.11  5427.09 4.36 3.77  83.8 -0.454    19.00 20.60 02a57578o0047c
57578.271867 18.967180 0.300310    94    26 c    0   2.61 186.44114 12.66357  8751.29  5505.35 4.36 3.69  83.4 -0.444    19.10 20.78 02a57578o0066c
57578.284046 18.826541      NaN    23    28 c    0   3.05 186.44114 12.66357  8771.97  5387.91 4.87 4.44  75.7 -0.410    18.96 20.76 02a57578o0090c
57578.298311 18.519279      NaN    55    29 c    0   2.27 186.44114 12.66357  8733.77  5444.57 5.13 4.74  75.4 -0.405    18.86 20.70 02a57578o0118c
57756.679928 17.101672      NaN    95   143 c    0   1.14 186.44114 12.66357  8545.00  4117.76 3.76 3.38 -83.6 -0.410    17.71 17.72 02a57756o0884c
57776.649799 19.631075      NaN    -3    17 c    0   2.44 186.44114 12.66357  7101.24  4880.95 3.84 3.60  85.5 -0.380    19.67 21.60 02a57776o0833c
57776.665609 19.569016      NaN   -72    18 c    0   2.73 186.44114 12.66357  7081.48  4840.58 3.87 3.59  87.0 -0.378    19.55 21.34 02a57776o0860c
57780.638408 19.569016      NaN   -12    18 c    0   1.97 186.44114 12.66357  6948.23  6406.20 3.66 3.45 -78.8 -0.433    19.82 21.85 02a57780o0801c
57780.663043 19.454622      NaN    -4    20 c    0   1.90 186.44114 12.66357  6929.74  6367.84 3.75 3.52 -79.9 -0.419    19.69 21.62 02a57780o0845c
57784.617629 19.302877      NaN    18    17 c    0   3.06 186.44114 12.66357  8655.37  4595.85 3.93 3.61  86.6 -0.394    19.77 21.86 02a57784o0581c
57784.643590 19.631075      NaN   -14    17 c    0   2.59 186.44114 12.66357  8639.90  4557.56 3.92 3.60  86.1 -0.394    19.75 21.83 02a57784o0627c
57784.665237 19.569016      NaN   -34    18 c    0   2.71 186.44114 12.66357  8696.70  4635.49 4.01 3.75  86.6 -0.390    19.50 21.38 02a57784o0669c
57784.677735 17.408507      NaN    86   103 c    0   1.05 186.44114 12.66357  8717.85  4519.75 4.21 3.94  79.4 -0.387    17.95 18.60 02a57784o0688c
57804.582757 19.302877      NaN     6    21 c    0   2.56 186.44114 12.66357  5747.28  6908.65 3.92 3.77  84.0 -0.398    19.29 21.06 02a57804o0710c
