         MJD         m       dm      uJy   duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57205.272537 18.089294      NaN       55     52 o    0    0.98 186.44456 12.66691   134.50  5142.35  3.98  3.69 -86.5 -0.431    18.28 19.15 02a57205o0017o
57205.273313 17.736543      NaN      118     58 o    0    1.42 186.44456 12.66691  8653.67  6112.50  4.03  3.46 -88.4 -0.414    18.32 19.24 02a57205o0018o
57205.281246 17.789888      NaN      122     52 o    0    1.35 186.44456 12.66691   131.38  5141.47  3.95  3.63 -80.8 -0.424    18.27 19.10 02a57205o0029o
57205.281906 17.685696      NaN      129     59 o    0    1.12 186.44456 12.66691  8650.74  6111.90  3.97  3.44 -89.4 -0.429    18.30 19.20 02a57205o0030o
57206.277034 17.782105      NaN      118     54 o    0    1.19 186.44456 12.66691   113.16  5137.22  4.74  3.71 -47.1 -0.423    18.29 19.39 02a57206o0007o
57206.277692 18.336727      NaN      -31     56 o    0    1.69 186.44456 12.66691  8633.02  6107.57  4.46  3.64 -86.5 -0.463    18.32 19.47 02a57206o0008o
57206.285521 18.191747      NaN      -69     64 o    0    0.81 186.44456 12.66691   112.65  5138.10  4.79  3.74 -50.3 -0.419    18.21 19.28 02a57206o0019o
57206.286221 18.152867      NaN       43     52 o    0    1.46 186.44456 12.66691  8631.16  6109.06  3.96  3.53 -74.3 -0.415    18.36 19.41 02a57206o0020o
57206.293975 18.396507      NaN      -27     53 o    0    1.20 186.44456 12.66691   110.40  5138.83  4.21  3.72  83.3 -0.422    18.25 19.24 02a57206o0031o
57206.294634 17.990970      NaN       75     52 o    0    1.25 186.44456 12.66691  8629.35  6109.75  3.95  3.54 -82.6 -0.409    18.33 19.33 02a57206o0032o
57408.611772 18.431198      NaN       58     32 o    0    1.30 186.44456 12.66691  3251.85  4681.26  3.73  3.49 -55.9 -0.419    18.92 20.21 02a57408o0664o
57408.644373 18.878500      NaN      -15     34 o    0    0.76 186.44456 12.66691  7193.73  5448.82  3.51  3.22  88.8 -0.441    19.23 20.79 02a57408o0713o
57408.657828 18.786693      NaN       -5     37 o    0    0.82 186.44456 12.66691  8060.42  6615.63  3.50  3.09  89.5 -0.463    19.22 20.77 02a57408o0735o
57408.666682 18.847027      NaN      -49     35 o    0    0.83 186.44456 12.66691  8364.61  4876.79  3.49  3.13  88.0 -0.458    19.11 20.55 02a57408o0749o
57445.563694 18.878500      NaN      -61     34 o    0    0.92 186.44456 12.66691  7161.10  6128.01  3.53  3.03  89.7 -0.474    18.71 19.75 02a57445o0698o
57445.586278 18.043943      NaN       49     57 o    0    0.52 186.44456 12.66691  6859.08  5549.15  3.48  3.15  89.4 -0.474    18.70 19.74 02a57445o0739o
57445.608905 18.459772      NaN       36     38 o    0    0.99 186.44456 12.66691  8029.29  4978.96  3.60  3.19  82.4 -0.466    18.65 19.65 02a57445o0780o
57445.632046 18.158337      NaN       66     44 o    0    0.76 186.44456 12.66691  8295.20  4867.43  3.69  3.24  81.4 -0.476    18.59 19.57 02a57445o0821o
57464.507958 18.847027      NaN       21     28 o    0    1.33 186.44456 12.66691  7196.97  5728.83  3.75  3.22  87.2 -0.455    19.05 20.64 02a57464o0603o
57464.530868 18.786693      NaN        0     37 o    0    0.88 186.44456 12.66691  6912.06  5148.43  3.62  3.31 -88.0 -0.472    19.26 21.00 02a57464o0646o
57464.553603 18.180496      NaN       80     38 o    0    0.75 186.44456 12.66691  8064.16  4577.47  3.80  3.39  80.1 -0.454    19.24 20.98 02a57464o0689o
57464.575983 18.816441      NaN       12     32 o    0    1.25 186.44456 12.66691  8291.85  4853.65  3.85  3.47  77.8 -0.455    19.14 20.85 02a57464o0732o
57472.511181 18.459772      NaN      -12     50 o    0    1.19 186.44456 12.66691  7246.23  6082.78  3.63  2.93  88.8 -0.494    18.15 18.77 02a57472o0569o
57472.531700 17.600430      NaN      130     67 o    0    0.85 186.44456 12.66691  6947.36  5502.57  3.58  3.11 -88.7 -0.468    18.13 18.75 02a57472o0604o
57472.552664 18.298627      NaN       -5     58 o    0    1.13 186.44456 12.66691  8125.41  4931.83  3.78  3.31  82.2 -0.469    18.05 18.65 02a57472o0638o
57472.569083 18.280067      NaN     -116     59 o    0    1.04 186.44456 12.66691  8282.34  4858.42  3.80  3.27  84.6 -0.479    18.02 18.61 02a57472o0663o
57476.483631 18.631975      NaN       26     34 o    0    0.76 186.44456 12.66691  7517.62  5755.76  3.69  3.19  86.4 -0.469    18.95 20.36 02a57476o0538o
57476.505731 18.729535      NaN        6     37 o    0    0.72 186.44456 12.66691  7213.95  5175.38  3.87  3.66  79.5 -0.438    18.85 20.32 02a57476o0581o
57476.527901 18.261819      NaN       78     34 o    0    1.17 186.44456 12.66691  8389.78  4604.51  3.79  3.40  73.2 -0.471    18.91 20.28 02a57476o0624o
57476.550240 18.496580      NaN       28     39 o    0    1.07 186.44456 12.66691  8274.93  4858.36  4.64  4.11  21.2 -0.391    18.60 20.12 02a57476o0667o
57493.413817 18.693037      NaN       22     33 o    0    1.22 186.44456 12.66691  7345.12  5823.16  3.69  3.32  83.2 -0.464    18.86 20.16 02a57493o0393o
57493.418365 18.558199      NaN       38     33 o    0    1.01 186.44456 12.66691  7064.83  5239.28  3.65  3.36  87.1 -0.458    18.84 20.13 02a57493o0402o
57493.438574 18.214605      NaN       44     48 o    0    0.67 186.44456 12.66691  8222.06  4665.00  3.72  3.21  81.5 -0.458    18.84 20.09 02a57493o0443o
57493.463760 18.255804      NaN       73     36 o    0    1.27 186.44456 12.66691  8283.42  4848.48  3.82  3.34  83.7 -0.452    18.82 20.09 02a57493o0493o
57495.329271 17.866751      NaN      127     44 o    0    1.47 186.44456 12.66691  2914.32  4840.68  3.89  3.42 -41.6 -0.490    18.41 19.30 02a57495o0227o
57495.341376 17.949472      NaN       99     47 o    0    1.03 186.44456 12.66691  2932.40  4876.01  3.87  3.43 -49.6 -0.496    18.42 19.32 02a57495o0250o
57495.360512 18.089294      NaN       49     54 o    0    0.97 186.44456 12.66691  2872.78  4797.38  4.27  3.74 -51.1 -0.458    18.22 19.22 02a57495o0286o
57495.360990 18.079051      NaN       72     47 o    0    1.29 186.44456 12.66691  2872.85  4797.46  4.16  3.79 -46.7 -0.456    18.34 19.34 02a57495o0287o
57495.374332 18.280067      NaN       51     42 o    0    1.29 186.44456 12.66691  2853.48  4916.03  3.91  3.44 -45.7 -0.491    18.41 19.30 02a57495o0314o
57500.474076 18.014729      NaN        4     74 o    0    1.34 186.44456 12.66691  7648.66  5725.52  3.79  2.99  87.8 -0.506    17.81 18.19 02a57500o0496o
57500.493900 17.558604      NaN       56     96 o    0    0.89 186.44456 12.66691  7632.35  5686.66  3.74  3.02  87.2 -0.488    17.82 18.18 02a57500o0535o
57500.518245 17.778234      NaN       26     85 o    0    1.15 186.44456 12.66691  7688.98  5763.70  3.84  3.10  86.9 -0.484    17.75 18.13 02a57500o0578o
57500.534825 17.533643      NaN       73     93 o    0    1.14 186.44456 12.66691  7705.96  5648.04  3.89  3.22  85.0 -0.502    17.69 18.05 02a57500o0612o
57506.428188 18.519279      NaN       49     31 o    0    1.29 186.44456 12.66691  7653.00  5724.23  3.93  3.43  84.8 -0.457    18.92 20.38 02a57506o0399o
57506.446843 18.255804      NaN       73     36 o    0    1.36 186.44456 12.66691  7694.59  5687.10  4.03  3.60  86.0 -0.452    18.79 20.19 02a57506o0435o
57506.465182 18.598565      NaN       21     37 o    0    1.11 186.44456 12.66691  7637.39  5668.03  4.06  3.70  83.4 -0.449    18.73 20.11 02a57506o0471o
57506.483351 18.249822      NaN       65     39 o    0    1.13 186.44456 12.66691  7711.42  5747.03  4.04  3.62  84.9 -0.451    18.67 20.02 02a57506o0507o
57506.501552 18.376212      NaN       24     46 o    0    1.18 186.44456 12.66691  7616.36  5765.17  4.28  3.99  83.9 -0.436    18.51 19.84 02a57506o0543o
57525.333647 18.125925      NaN       39     55 o    0    1.07 186.44456 12.66691  8692.07  4910.27  4.13  3.48  78.9 -0.474    18.16 18.92 02a57525o0209o
57525.351777 17.879400      NaN       88     56 o    0    1.11 186.44456 12.66691  8675.37  4878.88  4.08  3.47  79.0 -0.476    18.16 18.91 02a57525o0246o
57525.365475 17.759085      NaN       67     73 o    0    1.00 186.44456 12.66691  8732.06  4957.74  4.00  3.18  83.8 -0.472    17.90 18.64 02a57525o0274o
57525.383917 17.817577      NaN       73     66 o    0    1.28 186.44456 12.66691  8716.16  4901.46  3.94  3.23  84.4 -0.488    17.89 18.59 02a57525o0308o
57562.243811 16.566282      NaN     -127    286 o    0    1.19 186.44456 12.66691  9030.91  7024.18  4.51  3.75  81.3 -0.501    17.47 17.78 02a57562o0025o
57562.247630 17.176728      NaN      162    109 o    0    1.95 186.44456 12.66691  9012.28  6983.42  4.65  3.96  80.4 -0.509    17.94 18.75 02a57562o0032o
57562.254267 18.489118 0.334645      146     45 o    0    1.79 186.44456 12.66691  9068.86  7062.72  4.60  3.88  82.0 -0.496    18.61 20.03 02a57562o0044o
57562.263902 17.990970 0.178606      231     38 o    0    1.53 186.44456 12.66691  9105.75  6947.29  4.60  3.66  83.7 -0.484    18.98 20.74 02a57562o0062o
57562.274437 18.933071 0.358181       97     32 o    0    1.74 186.44456 12.66691  9048.73  7005.46  4.52  3.62  85.1 -0.488    19.04 20.83 02a57562o0081o
57566.243642 16.479961      NaN      110    273 o    0    1.54 186.44456 12.66691  8827.62  5686.33  4.46  3.82  76.8 -0.477    17.05 17.02 02a57566o0032o
57566.246861 17.252588      NaN      114    114 o    0    1.65 186.44456 12.66691  8810.74  5643.19  4.24  3.53  82.6 -0.507    17.71 18.16 02a57566o0038o
57566.252853 18.094452      NaN       84     42 o    0    1.48 186.44456 12.66691  8866.69  5722.12  4.22  3.47  84.2 -0.478    18.57 19.81 02a57566o0049o
57566.262646 18.261819      NaN       72     36 o    0    1.72 186.44456 12.66691  8885.74  5606.12  4.31  3.51  88.0 -0.488    18.97 20.60 02a57566o0066o
57570.269228 17.958558      NaN       34     68 o    0    0.94 186.44456 12.66691  7829.97  5456.88  4.00  3.25  87.1 -0.518    18.07 19.61 02a57570o0069o
57570.280799 17.243105      NaN      148    104 o    0    1.10 186.44456 12.66691  7810.58  5417.02  4.00  3.31  86.8 -0.509    17.47 18.93 02a57570o0092o
57570.294994 18.104842      NaN       34     58 o    0    1.16 186.44456 12.66691  7868.49  5493.48  3.96  3.19  88.9 -0.505    18.29 19.84 02a57570o0120o
57570.307762 16.947408      NaN      109    165 o    0    1.20 186.44456 12.66691  7889.55  5376.32  3.90  3.16  86.7 -0.510    16.89 18.27 02a57570o0145o
57570.320652 15.690052      NaN      -15    641 o    0    1.24 186.44456 12.66691  7853.70  5433.00  3.86  3.06  87.0 -0.506    15.54 16.81 02a57570o0170o
57768.637186 18.273950      NaN       70     36 o    0    1.22 186.44456 12.66691  8429.60  5069.73  3.70  3.34 -88.3 -0.426    18.59 19.47 02a57768o0839o
