         MJD         m       dm      uJy   duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57205.272537 18.504094      NaN      -52     48 o    0    1.39 186.43772 12.66024   147.50  5129.28  3.98  3.69 -86.4 -0.431    18.28 19.15 02a57205o0017o
57205.273313 18.267867      NaN       14     55 o    0    1.82 186.43772 12.66024  8666.76  6099.69  4.03  3.46 -88.4 -0.414    18.32 19.24 02a57205o0018o
57205.281246 18.438271      NaN      -39     51 o    0    1.21 186.43772 12.66024   144.38  5128.40  3.95  3.63 -80.8 -0.425    18.27 19.10 02a57205o0029o
57205.281906 18.220396      NaN       19     56 o    0    1.76 186.43772 12.66024  8663.83  6099.09  3.97  3.44 -89.4 -0.428    18.30 19.20 02a57205o0030o
57206.277034 18.382935      NaN        8     51 o    0    1.22 186.43772 12.66024   126.17  5124.14  4.73  3.70 -47.1 -0.423    18.29 19.39 02a57206o0007o
57206.277692 18.261819      NaN      -59     60 o    0    1.70 186.43772 12.66024  8646.11  6094.76  4.47  3.65 -86.6 -0.463    18.32 19.47 02a57206o0008o
57206.285521 18.232071      NaN       26     53 o    0    1.27 186.43772 12.66024   125.66  5125.02  4.79  3.73 -50.3 -0.420    18.21 19.28 02a57206o0019o
57206.286221 18.526952      NaN      -20     47 o    0    2.25 186.43772 12.66024  8644.24  6096.26  3.96  3.53 -74.4 -0.414    18.36 19.41 02a57206o0020o
57206.293975 18.220396      NaN       34     51 o    0    1.25 186.43772 12.66024   123.40  5125.75  4.21  3.72  83.3 -0.422    18.25 19.24 02a57206o0031o
57206.294634 18.459772      NaN      -24     50 o    0    2.02 186.43772 12.66024  8642.44  6096.94  3.95  3.54 -82.6 -0.409    18.33 19.33 02a57206o0032o
57408.611772 19.014394      NaN      -74     30 o    0    1.21 186.43772 12.66024  3238.83  4694.08  3.73  3.49 -56.0 -0.419    18.92 20.21 02a57408o0664o
57408.644373 18.944322      NaN      -51     32 o    0    0.98 186.43772 12.66024  7206.73  5435.99  3.51  3.22  88.8 -0.441    19.23 20.79 02a57408o0713o
57408.657828 18.806434      NaN       10     33 o    0    1.06 186.43772 12.66024  8073.47  6602.81  3.51  3.09  89.5 -0.462    19.22 20.77 02a57408o0735o
57408.666682 18.847027      NaN      -28     35 o    0    1.12 186.43772 12.66024  8377.70  4863.97  3.49  3.13  88.0 -0.458    19.11 20.55 02a57408o0749o
57445.563694 18.944322      NaN       -4     32 o    0    1.54 186.43772 12.66024  7174.10  6115.19  3.53  3.03  89.6 -0.474    18.71 19.75 02a57445o0698o
57445.586278 18.675237      NaN      -26     41 o    0    0.87 186.43772 12.66024  6872.07  5536.33  3.49  3.15  89.3 -0.474    18.70 19.74 02a57445o0739o
57445.608905 18.481707      NaN       36     37 o    0    1.14 186.43772 12.66024  8042.35  4966.14  3.60  3.19  82.2 -0.466    18.65 19.65 02a57445o0780o
57445.632046 18.496580      NaN       31     38 o    0    1.23 186.43772 12.66024  8308.29  4854.62  3.69  3.25  81.3 -0.476    18.59 19.57 02a57445o0821o
57464.507958 19.089302      NaN      -84     28 o    0    1.22 186.43772 12.66024  7209.97  5716.00  3.75  3.22  87.1 -0.455    19.05 20.64 02a57464o0603o
57464.530868 19.089302      NaN      -64     28 o    0    1.32 186.43772 12.66024  6925.05  5135.60  3.62  3.31 -88.1 -0.472    19.26 21.00 02a57464o0646o
57464.553603 19.169763      NaN      -48     26 o    0    1.56 186.43772 12.66024  8077.24  4564.65  3.80  3.40  79.9 -0.454    19.24 20.98 02a57464o0689o
57464.575983 19.051202      NaN      -35     29 o    0    1.37 186.43772 12.66024  8304.94  4840.83  3.86  3.47  77.7 -0.455    19.14 20.85 02a57464o0732o
57472.511181 18.459772      NaN      -11     50 o    0    1.33 186.43772 12.66024  7259.24  6069.96  3.63  2.93  88.8 -0.494    18.15 18.77 02a57472o0569o
57472.531700 18.243872      NaN      -22     61 o    0    1.14 186.43772 12.66024  6960.36  5489.75  3.58  3.11 -88.8 -0.468    18.13 18.75 02a57472o0604o
57472.552664 18.417189      NaN      -81     52 o    0    1.55 186.43772 12.66024  8138.48  4919.02  3.78  3.31  82.1 -0.470    18.05 18.65 02a57472o0638o
57472.569083 18.280067      NaN      -28     59 o    0    1.20 186.43772 12.66024  8295.43  4845.61  3.80  3.27  84.5 -0.479    18.02 18.61 02a57472o0663o
57476.483631 18.738855      NaN       26     30 o    0    1.28 186.43772 12.66024  7530.64  5742.95  3.69  3.19  86.4 -0.469    18.95 20.36 02a57476o0538o
57476.505731 18.675237      NaN       33     30 o    0    1.21 186.43772 12.66024  7226.97  5162.56  3.87  3.66  79.3 -0.438    18.85 20.32 02a57476o0581o
57476.527901 18.944322      NaN      -37     32 o    0    1.35 186.43772 12.66024  8402.88  4591.69  3.79  3.40  73.0 -0.471    18.91 20.28 02a57476o0624o
57476.550240 18.786693      NaN       -3     37 o    0    1.42 186.43772 12.66024  8288.02  4845.55  4.64  4.11  21.3 -0.391    18.60 20.12 02a57476o0667o
57493.413817 18.967180      NaN        4     30 o    0    1.25 186.43772 12.66024  7358.13  5810.34  3.69  3.32  83.2 -0.464    18.86 20.16 02a57493o0393o
57493.418365 19.014394      NaN       -6     30 o    0    1.28 186.43772 12.66024  7077.83  5226.45  3.66  3.36  87.0 -0.458    18.84 20.13 02a57493o0402o
57493.438574 18.729535      NaN      -77     39 o    0    0.73 186.43772 12.66024  8235.15  4652.17  3.72  3.21  81.4 -0.458    18.84 20.09 02a57493o0443o
57493.463760 18.878500      NaN      -56     34 o    0    1.17 186.43772 12.66024  8296.51  4835.66  3.83  3.34  83.6 -0.452    18.82 20.09 02a57493o0493o
57495.329271 18.504094      NaN      -30     48 o    0    1.19 186.43772 12.66024  2901.29  4853.50  3.89  3.42 -41.8 -0.490    18.41 19.30 02a57495o0227o
57495.341376 18.438271      NaN      -21     51 o    0    0.92 186.43772 12.66024  2919.37  4888.83  3.87  3.43 -49.7 -0.496    18.42 19.32 02a57495o0250o
57495.360512 18.039019      NaN       59     54 o    0    1.49 186.43772 12.66024  2859.74  4810.20  4.27  3.74 -51.2 -0.458    18.22 19.22 02a57495o0286o
57495.360990 17.976960      NaN      102     44 o    0    1.37 186.43772 12.66024  2859.81  4810.27  4.16  3.79 -46.9 -0.456    18.34 19.34 02a57495o0287o
57495.374332 18.640491      NaN       10     39 o    0    1.56 186.43772 12.66024  2840.44  4928.85  3.91  3.44 -45.8 -0.491    18.41 19.30 02a57495o0314o
57500.474076 18.009935      NaN       20     69 o    0    1.72 186.43772 12.66024  7661.69  5712.71  3.79  2.99  87.7 -0.506    17.81 18.19 02a57500o0496o
57500.493900 17.845990      NaN     -203     88 o    0    1.48 186.43772 12.66024  7645.38  5673.85  3.74  3.02  87.2 -0.488    17.82 18.18 02a57500o0535o
57500.518245 17.892199      NaN       28     75 o    0    1.95 186.43772 12.66024  7702.01  5750.89  3.84  3.10  86.8 -0.485    17.75 18.13 02a57500o0578o
57500.534825 17.797727      NaN       30     82 o    0    1.49 186.43772 12.66024  7719.00  5635.23  3.89  3.22  84.9 -0.502    17.69 18.05 02a57500o0612o
57506.428188 18.445391      NaN       68     28 o    0    1.88 186.43772 12.66024  7666.04  5711.41  3.93  3.43  84.7 -0.457    18.92 20.38 02a57506o0399o
57506.446843 18.816441      NaN        6     34 o    0    1.27 186.43772 12.66024  7707.63  5674.29  4.04  3.60  85.9 -0.452    18.79 20.19 02a57506o0435o
57506.465182 18.944322      NaN      -18     32 o    0    1.78 186.43772 12.66024  7650.43  5655.22  4.07  3.70  83.3 -0.449    18.73 20.11 02a57506o0471o
57506.483351 18.816441      NaN      -29     36 o    0    1.31 186.43772 12.66024  7724.46  5734.22  4.04  3.62  84.9 -0.451    18.67 20.02 02a57506o0507o
57506.501552 18.598565      NaN      -20     44 o    0    1.02 186.43772 12.66024  7629.39  5752.36  4.28  3.99  83.7 -0.436    18.51 19.84 02a57506o0543o
57525.333647 18.417189      NaN      -96     52 o    0    0.99 186.43772 12.66024  8705.19  4897.46  4.13  3.48  78.8 -0.473    18.16 18.92 02a57525o0209o
57525.351777 18.237955      NaN       25     53 o    0    1.14 186.43772 12.66024  8688.49  4866.06  4.09  3.47  78.9 -0.476    18.16 18.91 02a57525o0246o
57525.365475 18.226218      NaN      -39     62 o    0    1.50 186.43772 12.66024  8745.19  4944.93  4.00  3.18  83.8 -0.472    17.90 18.64 02a57525o0274o
57525.383917 18.142010      NaN      -75     67 o    0    1.30 186.43772 12.66024  8729.29  4888.65  3.94  3.23  84.3 -0.488    17.89 18.59 02a57525o0308o
57562.243811 16.686597      NaN      -24    256 o    0    1.82 186.43772 12.66024  9044.03  7011.38  4.51  3.75  81.3 -0.501    17.47 17.78 02a57562o0025o
57562.247630 17.633737      NaN      -23    107 o    0    1.71 186.43772 12.66024  9025.40  6970.62  4.65  3.96  80.4 -0.510    17.94 18.75 02a57562o0032o
57562.254267 18.623526      NaN      -56     43 o    0    1.71 186.43772 12.66024  9081.98  7049.92  4.60  3.88  82.0 -0.497    18.61 20.03 02a57562o0044o
57562.263902 18.878500      NaN        0     34 o    0    1.63 186.43772 12.66024  9118.87  6934.50  4.60  3.66  83.7 -0.485    18.98 20.74 02a57562o0062o
57562.274437 18.944322      NaN      -30     32 o    0    1.75 186.43772 12.66024  9061.84  6992.66  4.52  3.62  85.1 -0.488    19.04 20.83 02a57562o0081o
57566.243642 16.516809      NaN       79    273 o    0    2.23 186.43772 12.66024  8840.74  5673.52  4.46  3.81  76.8 -0.477    17.05 17.02 02a57566o0032o
57566.246861 17.473643      NaN      -30    124 o    0    1.03 186.43772 12.66024  8823.86  5630.39  4.25  3.53  82.7 -0.508    17.71 18.16 02a57566o0038o
57566.252853 18.396507      NaN       42     39 o    0    1.51 186.43772 12.66024  8879.82  5709.31  4.23  3.47  84.2 -0.478    18.57 19.81 02a57566o0049o
57566.262646 18.657725      NaN       23     34 o    0    1.24 186.43772 12.66024  8898.87  5593.31  4.31  3.51  88.0 -0.488    18.97 20.60 02a57566o0066o
57570.269228 18.152867      NaN       13     62 o    0    1.22 186.43772 12.66024  7843.02  5444.07  4.00  3.25  87.1 -0.518    18.07 19.61 02a57570o0069o
57570.280799 17.664614      NaN     -197    104 o    0    1.27 186.43772 12.66024  7823.63  5404.20  4.00  3.31  86.7 -0.509    17.47 18.93 02a57570o0092o
57570.294994 17.949472      NaN       84     52 o    0    1.36 186.43772 12.66024  7881.55  5480.67  3.96  3.19  88.9 -0.505    18.29 19.84 02a57570o0120o
57570.307762 17.075064      NaN      -50    179 o    0    1.07 186.43772 12.66024  7902.61  5363.51  3.90  3.17  86.7 -0.510    16.89 18.27 02a57570o0145o
57570.320652 15.642010      NaN     -137    670 o    0    1.03 186.43772 12.66024  7866.75  5420.19  3.86  3.06  87.0 -0.506    15.54 16.81 02a57570o0170o
57768.637186 18.675237      NaN      -44     41 o    0    1.03 186.43772 12.66024  8442.69  5056.91  3.71  3.34 -88.4 -0.426    18.59 19.47 02a57768o0839o
57768.652736 18.878500      NaN      -51     34 o    0    1.43 186.43772 12.66024  8421.01  5017.44  3.72  3.37 -86.8 -0.428    18.58 19.47 02a57768o0868o
57768.669790 18.702047      NaN      -36     40 o    0    1.28 186.43772 12.66024  8479.86  5101.81  3.92  3.78   8.3 -0.400    18.46 19.38 02a57768o0898o
57788.606078 19.401649      NaN      -37     21 o    0    1.86 186.43772 12.66024  6029.11  7245.32  3.44  3.29  89.2 -0.460    19.55 21.28 02a57788o0755o
57788.619491 19.076453      NaN       28     19 o    0    2.44 186.43772 12.66024  6008.44  7205.10  3.47  3.31  87.9 -0.453    19.52 21.23 02a57788o0781o
57788.640542 19.212347      NaN      -53     25 o    0    1.76 186.43772 12.66024  6069.10  7284.40  3.49  3.36 -87.2 -0.448    19.50 21.22 02a57788o0820o
57788.657012 18.889197      NaN       32     23 o    0    1.88 186.43772 12.66024  6088.00  7166.18  3.46  3.27 -86.5 -0.459    19.47 21.12 02a57788o0850o
57788.674214 18.298627      NaN      -80     58 o    0    1.88 186.43772 12.66024  6052.16  7225.51  3.56  3.49  12.9 -0.441    18.37 19.08 02a57788o0879o
57792.603788 18.978793      NaN       -6     31 o    0    1.37 186.43772 12.66024  8476.32  4007.19  3.76  3.31  88.1 -0.423    18.88 20.01 02a57792o0015o
57792.626147 18.944322      NaN      -31     32 o    0    1.13 186.43772 12.66024  8455.50  3968.69  3.77  3.23  88.5 -0.439    19.16 20.58 02a57792o0052o
57792.643328 18.978793      NaN      -56     31 o    0    1.14 186.43772 12.66024  8513.74  4046.79  3.84  3.35  86.3 -0.432    19.23 20.77 02a57792o0080o
57792.661914 19.014394      NaN      -10     30 o    0    1.47 186.43772 12.66024  8536.47  3931.24  3.76  3.30  87.6 -0.435    18.96 20.36 02a57792o0109o
57800.597794 18.757738      NaN      -13     38 o    0    0.98 186.43772 12.66024  5871.83  6766.75  3.40  3.29 -81.6 -0.474    18.88 19.95 02a57800o0565o
57800.612619 18.675237      NaN      -12     41 o    0    0.96 186.43772 12.66024  5853.14  6726.11  3.36  3.23 -75.6 -0.477    18.93 20.03 02a57800o0590o
57800.629152 18.847027      NaN      -55     35 o    0    1.22 186.43772 12.66024  5911.11  6802.72  3.48  3.35 -82.9 -0.461    18.89 20.00 02a57800o0623o
57800.645249 18.878500      NaN      -85     34 o    0    1.73 186.43772 12.66024  5933.57  6686.16  3.68  3.57   9.0 -0.421    18.79 19.94 02a57800o0655o
