         MJD         m       dm  uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57537.348791 18.836735      NaN   34    24 c    0    0.95 186.43772 12.66691  6499.74  5943.11 3.98 3.57 -87.2 -0.455    19.51 21.50 02a57537o0244c
57537.360186 18.889197      NaN   38    21 c    0    1.21 186.43772 12.66691  6518.10  5827.12 4.01 3.60 -85.5 -0.441    19.50 21.49 02a57537o0262c
57537.371576 19.334813      NaN    1    22 c    0    1.05 186.43772 12.66691  6480.20  5885.09 3.90 3.53 -88.1 -0.439    19.50 21.46 02a57537o0279c
57543.312746 18.878500      NaN   36    22 c    0    0.99 186.43772 12.66691  6453.04  4565.82 4.04 3.82 -89.2 -0.460    19.50 21.52 02a57543o0203c
57543.325844 19.212347      NaN    6    23 c    0    0.92 186.43772 12.66691  6434.66  4527.90 3.97 3.83 -74.4 -0.456    19.50 21.52 02a57543o0227c
57543.353378 19.155932      NaN   22    19 c    0    1.54 186.43772 12.66691  6515.56  4490.26 3.92 3.76 -81.6 -0.448    19.41 21.39 02a57543o0269c
57543.367626 19.256669      NaN  -22    24 c    0    0.91 186.43772 12.66691  6480.99  4547.36 3.83 3.73 -81.3 -0.456    19.37 21.31 02a57543o0291c
57547.305177 18.836735      NaN   46    20 c    0    1.37 186.43772 12.66691  9006.22  4643.66 4.40 3.77  76.8 -0.457    19.51 21.54 02a57547o0142c
57547.317861 18.776955      NaN   46    22 c    0    0.99 186.43772 12.66691  8991.12  4605.36 4.48 3.84  78.5 -0.432    19.51 21.56 02a57547o0165c
57574.262343 19.128787      NaN   -3    27 c    0    1.60 186.43772 12.66691  5941.61  5716.46 4.02 3.65  82.6 -0.475    19.24 21.00 02a57574o0047c
57574.271998 18.558199      NaN   59    26 c    0    0.85 186.43772 12.66691  5922.26  5676.16 3.99 3.59  89.5 -0.462    19.38 21.28 02a57574o0066c
57574.284152 19.076453      NaN   19    22 c    0    1.43 186.43772 12.66691  5978.33  5752.56 3.98 3.61  88.6 -0.466    19.38 21.28 02a57574o0090c
57574.298256 19.002397      NaN   19    24 c    0    1.03 186.43772 12.66691  5997.03  5635.71 3.98 3.69 -85.1 -0.456    19.34 21.24 02a57574o0118c
57574.311130 18.748255      NaN   40    25 c    0    1.32 186.43772 12.66691  5961.29  5692.54 3.94 3.59 -86.4 -0.446    19.32 21.21 02a57574o0143c
57578.256339 18.356290      NaN   45    40 c    0    1.10 186.43772 12.66691  8718.76  5472.21 4.32 3.59  83.9 -0.446    18.71 20.01 02a57578o0035c
57578.262327 19.089302      NaN   -4    28 c    0    1.41 186.43772 12.66691  8700.55  5433.63 4.36 3.77  83.8 -0.455    19.00 20.60 02a57578o0047c
57578.271867 18.684100      NaN   38    28 c    0    1.18 186.43772 12.66691  8757.73  5511.89 4.36 3.68  83.4 -0.444    19.10 20.78 02a57578o0066c
57578.284046 18.438271      NaN   60    31 c    0    1.34 186.43772 12.66691  8778.41  5394.45 4.87 4.44  75.7 -0.410    18.96 20.76 02a57578o0090c
57578.298311 18.693037      NaN   31    30 c    0    1.44 186.43772 12.66691  8740.20  5451.11 5.13 4.74  75.5 -0.405    18.86 20.70 02a57578o0118c
57756.679928 17.311291      NaN  -73   144 c    0    0.92 186.43772 12.66691  8551.43  4124.29 3.76 3.38 -83.6 -0.410    17.71 17.72 02a57756o0884c
57776.649799 19.271854      NaN   26    15 c    0    1.76 186.43772 12.66691  7107.66  4887.44 3.84 3.60  85.5 -0.380    19.67 21.60 02a57776o0833c
57776.665609 19.226921      NaN   23    17 c    0    1.59 186.43772 12.66691  7087.91  4847.08 3.87 3.59  87.0 -0.378    19.55 21.34 02a57776o0860c
57780.638408 19.510313      NaN   -4    19 c    0    0.99 186.43772 12.66691  6954.66  6412.71 3.66 3.45 -78.8 -0.433    19.82 21.85 02a57780o0801c
57780.663043 19.631075      NaN  -17    17 c    0    1.59 186.43772 12.66691  6936.17  6374.34 3.75 3.52 -79.9 -0.419    19.69 21.62 02a57780o0845c
57784.617629 19.569016      NaN   -6    18 c    0    1.29 186.43772 12.66691  8661.80  4602.38 3.93 3.60  86.6 -0.394    19.77 21.86 02a57784o0581c
57784.643590 19.401649      NaN   12    17 c    0    1.45 186.43772 12.66691  8646.33  4564.09 3.92 3.60  86.1 -0.394    19.75 21.83 02a57784o0627c
57784.665237 19.038793      NaN   34    18 c    0    1.67 186.43772 12.66691  8703.13  4642.02 4.01 3.74  86.6 -0.390    19.50 21.38 02a57784o0669c
57784.677735 17.178950      NaN  176   104 c    0    1.00 186.43772 12.66691  8724.28  4526.28 4.21 3.94  79.4 -0.387    17.95 18.60 02a57784o0688c
57804.582757 19.183773      NaN    8    23 c    0    1.29 186.43772 12.66691  5753.71  6915.14 3.92 3.77  84.1 -0.398    19.29 21.06 02a57804o0710c
57804.602543 19.256669      NaN   12    20 c    0    1.37 186.43772 12.66691  5738.07  6874.95 3.65 3.54 -84.5 -0.425    19.47 21.21 02a57804o0749c
57804.619463 19.510313      NaN  -20    19 c    0    1.51 186.43772 12.66691  5795.47  6952.94 3.70 3.60  89.8 -0.419    19.42 21.14 02a57804o0778c
57804.633166 18.910912      NaN   33    22 c    0    1.67 186.43772 12.66691  5814.51  6835.25 3.69 3.55 -89.9 -0.414    19.40 21.08 02a57804o0804c
57804.650827 19.401649      NaN   -3    21 c    0    1.42 186.43772 12.66691  5780.74  6891.68 3.66 3.62  73.2 -0.412    19.33 20.98 02a57804o0839c
57808.580492 19.063754      NaN   23    21 c    0    1.00 186.43772 12.66691  5852.13  5658.40 3.68 3.50  85.8 -0.395    19.59 21.48 02a57808o0688c
57808.586360 19.197966      NaN    7    23 c    0    1.10 186.43772 12.66691  5835.41  5618.58 3.67 3.50  88.3 -0.396    19.46 21.34 02a57808o0699c
57808.606500 18.847027      NaN   39    22 c    0    0.94 186.43772 12.66691  5894.70  5694.28 3.67 3.50 -89.5 -0.396    19.61 21.48 02a57808o0739c
57808.627241 19.401649      NaN  -16    21 c    0    1.15 186.43772 12.66691  5916.15  5577.09 3.68 3.51  83.8 -0.396    19.56 21.41 02a57808o0777c
57808.628235 19.472870      NaN    2    19 c    0    1.61 186.43772 12.66691  5877.86  5634.70 3.67 3.50  87.1 -0.397    19.59 21.44 02a57808o0779c
57816.504300 19.549093      NaN    4    17 c    0    1.46 186.43772 12.66691  8849.85  4161.83 3.83 3.49  89.2 -0.403    19.78 21.90 02a57816o0493c
57816.513548 19.302877      NaN   18    17 c    0    1.17 186.43772 12.66691  8830.08  4128.51 3.83 3.48  87.0 -0.402    19.78 21.89 02a57816o0511c
57816.515004 19.026525      NaN   35    18 c    0    1.37 186.43772 12.66691  8886.70  4206.02 3.81 3.43  88.8 -0.407    19.78 21.90 02a57816o0514c
57816.535860 19.436675      NaN   13    16 c    0    1.25 186.43772 12.66691  8904.46  4092.50 3.87 3.49  87.6 -0.403    19.76 21.88 02a57816o0553c
57816.547679 18.826541      NaN   47    20 c    0    0.95 186.43772 12.66691  8867.06  4149.59 3.83 3.44  88.5 -0.406    19.77 21.87 02a57816o0574c
57836.506100 18.776955      NaN   49    21 c    0    1.72 186.43772 12.66691  6224.86  5990.87 3.82 3.65  84.4 -0.389    18.96 20.80 02a57836o0523c
57836.523043 19.063754      NaN   20    22 c    0    1.37 186.43772 12.66691  6205.35  5951.87 3.83 3.63  87.9 -0.392    18.93 20.72 02a57836o0554c
57836.538524 19.351140      NaN  -12    22 c    0    1.50 186.43772 12.66691  6262.62  6028.94 3.84 3.64  88.0 -0.392    18.86 20.64 02a57836o0582c
57836.575957 18.816441      NaN  -43    36 c    0    1.20 186.43772 12.66691  6246.93  5967.76 4.15 3.95  84.9 -0.383    18.35 20.13 02a57836o0650c
57840.495204 19.256669      NaN  -13    24 c    0    1.16 186.43772 12.66691  6436.58  5563.77 3.95 3.82  83.3 -0.380    18.94 20.84 02a57840o0505c
57840.512991 18.889197      NaN   32    23 c    0    1.16 186.43772 12.66691  6417.99  5527.09 3.81 3.62  85.2 -0.394    18.97 20.81 02a57840o0538c
57840.538546 19.302877      NaN   -2    23 c    0    1.11 186.43772 12.66691  6493.99  5603.28 3.77 3.55  87.9 -0.399    18.94 20.71 02a57840o0586c
57840.540112 18.720295      NaN   52    22 c    0    1.29 186.43772 12.66691  6512.68  5487.18 3.75 3.52  88.2 -0.400    18.95 20.70 02a57840o0589c
57844.477299 19.256669      NaN  -25    24 c    0    1.35 186.43772 12.66691  8539.69  5695.86 3.83 3.48 -87.0 -0.422    19.62 21.61 02a57844o0466c
57844.483034 19.142275      NaN    5    25 c    0    1.25 186.43772 12.66691  8522.21  5656.01 3.74 3.37 -85.9 -0.429    19.63 21.60 02a57844o0477c
57844.503795 19.063754      NaN   14    24 c    0    1.05 186.43772 12.66691  8580.52  5732.76 3.90 3.57 -85.4 -0.415    19.57 21.57 02a57844o0517c
57844.524943 19.256669      NaN   -7    24 c    0    1.41 186.43772 12.66691  8599.27  5616.00 3.84 3.49 -88.7 -0.418    19.56 21.49 02a57844o0556c
57844.525978 18.889197      NaN   29    24 c    0    0.98 186.43772 12.66691  8560.14  5673.69 3.79 3.41 -88.0 -0.427    19.56 21.48 02a57844o0558c
57868.491248 16.457979      NaN -180   316 c    0    1.11 186.43772 12.66691  7177.27  3789.86 3.10 2.69  26.1 -0.450    15.95 16.87 02a57868o0287c
57868.504432 19.589310      NaN    5    16 c    0    1.38 186.43772 12.66691  7232.49  3868.87 3.26 2.87  28.5 -0.432    18.96 20.02 02a57868o0312c
57868.517543 19.510313      NaN   -4    19 c    0    0.85 186.43772 12.66691  7250.82  3753.73 3.22 2.75  24.6 -0.429    19.07 20.05 02a57868o0337c
57868.531199 19.367717      NaN    5    20 c    0    1.18 186.43772 12.66691  7213.86  3811.23 3.50 3.07  28.6 -0.420    18.93 19.99 02a57868o0363c
57869.509492 19.271854      NaN   23    16 c    0    1.20 186.43772 12.66691  6559.22  6667.22 2.77 2.64  18.4 -0.465    19.25 20.39 02a57869o0331c
57869.523777 19.631075      NaN    0    17 c    0    1.15 186.43772 12.66691  6540.41  6628.59 2.75 2.59  19.8 -0.470    19.18 20.25 02a57869o0358c
57869.538675 19.696897      NaN    0    16 c    0    0.95 186.43772 12.66691  6597.86  6707.48 2.79 2.66  17.4 -0.472    19.07 20.11 02a57869o0386c
57869.553529 19.569016      NaN   -1    18 c    0    1.67 186.43772 12.66691  6617.41  6593.34 3.07 2.95  14.8 -0.444    18.88 19.97 02a57869o0414c
57896.370213 19.169763      NaN   30    16 c    0    1.62 186.43772 12.66691  8767.08  5339.88 3.78 3.53  68.3 -0.422    19.43 21.46 02a57896o0198c
57900.377593 19.241693      NaN   31    14 c    0    0.91 186.43772 12.66691  7473.97  4592.65 2.93 2.40  52.1 -0.461    19.62 21.33 02a57900o0249c
57900.411878 19.922338      NaN  -11    13 c    0    0.86 186.43772 12.66691  7557.36  4551.02 2.89 2.45  45.4 -0.459    19.59 21.23 02a57900o0312c
