         MJD         m       dm      uJy   duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57205.272537 18.459772      NaN      -31     50 o    0    1.52 186.44114 12.65885   140.92  5126.63  3.98  3.69 -86.4 -0.431    18.28 19.15 02a57205o0017o
57205.273313 18.396507      NaN      -22     53 o    0    2.16 186.44114 12.65885  8660.29  6096.93  4.03  3.46 -88.4 -0.414    18.32 19.24 02a57205o0018o
57205.281246 18.410251      NaN       19     46 o    0    1.58 186.44114 12.65885   137.80  5125.75  3.95  3.63 -80.8 -0.424    18.27 19.10 02a57205o0029o
57205.281906 18.169360      NaN       22     58 o    0    1.82 186.44114 12.65885  8657.35  6096.33  3.97  3.44 -89.4 -0.428    18.30 19.20 02a57205o0030o
57206.277034 18.255804      NaN       37     48 o    0    1.56 186.44114 12.65885   119.59  5121.49  4.74  3.71 -47.1 -0.423    18.29 19.39 02a57206o0007o
57206.277692 18.356290      NaN      -17     55 o    0    2.21 186.44114 12.65885  8639.63  6092.00  4.47  3.65 -86.6 -0.463    18.32 19.47 02a57206o0008o
57206.285521 18.005163      NaN       90     46 o    0    1.68 186.44114 12.65885   119.07  5122.37  4.79  3.74 -50.2 -0.419    18.21 19.28 02a57206o0019o
57206.286221 18.574166      NaN      -10     45 o    0    2.71 186.44114 12.65885  8637.77  6093.50  3.96  3.53 -74.4 -0.415    18.36 19.41 02a57206o0020o
57206.293975 17.887916      NaN       95     53 o    0    1.11 186.44114 12.65885   116.82  5123.10  4.21  3.72  83.3 -0.422    18.25 19.24 02a57206o0031o
57206.294634 18.459772      NaN      -62     50 o    0    1.99 186.44114 12.65885  8635.96  6094.19  3.95  3.54 -82.6 -0.409    18.33 19.33 02a57206o0032o
57408.611772 18.489118      NaN       53     31 o    0    1.11 186.44114 12.65885  3245.28  4696.81  3.73  3.49 -56.1 -0.419    18.92 20.21 02a57408o0664o
57408.644373 18.836735      NaN       16     30 o    0    1.43 186.44114 12.65885  7200.28  5433.27  3.51  3.22  88.8 -0.441    19.23 20.79 02a57408o0713o
57408.657828 18.767304      NaN        5     36 o    0    1.72 186.44114 12.65885  8067.00  6600.06  3.51  3.09  89.5 -0.462    19.22 20.77 02a57408o0735o
57408.666682 18.424171      NaN       50     35 o    0    1.18 186.44114 12.65885  8371.24  4861.23  3.49  3.13  87.9 -0.458    19.11 20.55 02a57408o0749o
57445.563694 18.944322      NaN      -16     32 o    0    1.70 186.44114 12.65885  7167.65  6112.45  3.53  3.04  89.6 -0.474    18.71 19.75 02a57445o0698o
57445.586278 18.029238      NaN       55     56 o    0    0.81 186.44114 12.65885  6865.62  5533.60  3.48  3.15  89.3 -0.474    18.70 19.74 02a57445o0739o
57445.608905 18.474346      NaN       31     39 o    0    1.15 186.44114 12.65885  8035.89  4963.40  3.60  3.19  82.2 -0.466    18.65 19.65 02a57445o0780o
57445.632046 18.034118      NaN      102     40 o    0    1.09 186.44114 12.65885  8301.83  4851.87  3.69  3.25  81.3 -0.476    18.59 19.57 02a57445o0821o
57464.507958 18.796518      NaN       23     29 o    0    1.22 186.44114 12.65885  7203.52  5713.27  3.75  3.22  87.1 -0.455    19.05 20.64 02a57464o0603o
57464.530868 18.640491      NaN       37     30 o    0    1.67 186.44114 12.65885  6918.61  5132.88  3.62  3.31 -88.0 -0.472    19.26 21.00 02a57464o0646o
57464.553603 18.757738      NaN       21     31 o    0    1.55 186.44114 12.65885  8070.78  4561.91  3.80  3.40  79.9 -0.454    19.24 20.98 02a57464o0689o
57464.575983 18.566153      NaN       40     32 o    0    1.36 186.44114 12.65885  8298.47  4838.09  3.85  3.47  77.6 -0.455    19.14 20.85 02a57464o0732o
57472.511181 18.186107      NaN       52     47 o    0    1.54 186.44114 12.65885  7252.78  6067.22  3.63  2.93  88.8 -0.493    18.15 18.77 02a57472o0569o
57472.531700 18.125925      NaN      -59     68 o    0    0.93 186.44114 12.65885  6953.91  5487.02  3.58  3.11 -88.8 -0.468    18.13 18.75 02a57472o0604o
57472.552664 18.261819      NaN      -76     60 o    0    1.29 186.44114 12.65885  8132.02  4916.27  3.78  3.31  82.1 -0.469    18.05 18.65 02a57472o0638o
57472.569083 18.336727      NaN        6     54 o    0    1.38 186.44114 12.65885  8288.97  4842.86  3.80  3.27  84.5 -0.479    18.02 18.61 02a57472o0663o
57476.483631 18.944322      NaN      -64     32 o    0    1.29 186.44114 12.65885  7524.19  5740.21  3.69  3.19  86.4 -0.469    18.95 20.36 02a57476o0538o
57476.505731 18.702047      NaN       30     30 o    0    1.41 186.44114 12.65885  7220.52  5159.83  3.87  3.66  79.3 -0.438    18.85 20.32 02a57476o0581o
57476.527901 18.649074      NaN       24     34 o    0    1.40 186.44114 12.65885  8396.42  4588.95  3.79  3.40  73.0 -0.471    18.91 20.28 02a57476o0624o
57476.550240 18.389700      NaN       55     35 o    0    1.76 186.44114 12.65885  8281.56  4842.80  4.64  4.11  21.2 -0.391    18.60 20.12 02a57476o0667o
57493.413817 18.343209      NaN       71     32 o    0    1.61 186.44114 12.65885  7351.67  5807.60  3.69  3.32  83.2 -0.464    18.86 20.16 02a57493o0393o
57493.418365 18.757738      NaN       24     30 o    0    2.01 186.44114 12.65885  7071.39  5223.72  3.66  3.36  87.1 -0.458    18.84 20.13 02a57493o0402o
57493.438574 18.396507      NaN       48     37 o    0    1.40 186.44114 12.65885  8228.68  4649.43  3.72  3.22  81.4 -0.458    18.84 20.09 02a57493o0443o
57493.463760 18.459772      NaN       42     36 o    0    1.21 186.44114 12.65885  8290.04  4832.92  3.82  3.34  83.6 -0.452    18.82 20.09 02a57493o0493o
57495.329271 18.474346      NaN       25     41 o    0    2.04 186.44114 12.65885  2907.75  4856.23  3.89  3.42 -41.8 -0.489    18.41 19.30 02a57495o0227o
57495.341376 18.311179      NaN       37     45 o    0    1.71 186.44114 12.65885  2925.82  4891.56  3.87  3.43 -49.8 -0.496    18.42 19.32 02a57495o0250o
57495.360512 17.600430 0.177129      331     54 o    0    1.41 186.44114 12.65885  2866.20  4812.94  4.27  3.74 -51.2 -0.458    18.22 19.22 02a57495o0286o
57495.360990 18.084160      NaN       86     42 o    0    1.52 186.44114 12.65885  2866.27  4813.01  4.16  3.79 -47.0 -0.456    18.34 19.34 02a57495o0287o
57495.374332 18.311179      NaN       61     37 o    0    2.07 186.44114 12.65885  2846.90  4931.59  3.91  3.44 -45.9 -0.491    18.41 19.30 02a57495o0314o
57500.474076 17.922662      NaN        6     80 o    0    1.17 186.44114 12.65885  7655.24  5709.97  3.79  2.99  87.7 -0.505    17.81 18.19 02a57500o0496o
57500.493900 17.922662      NaN       -5     82 o    0    1.66 186.44114 12.65885  7638.93  5671.11  3.74  3.02  87.2 -0.488    17.82 18.18 02a57500o0535o
57500.518245 17.657676      NaN       62     84 o    0    1.36 186.44114 12.65885  7695.56  5748.14  3.84  3.10  86.8 -0.485    17.75 18.13 02a57500o0578o
