         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57537.348791 19.454622      NaN   -27    20 c    0   2.44 186.44114 12.65885  6493.36  5927.48 3.98 3.57 -87.1 -0.455    19.51 21.50 02a57537o0244c
57537.360186 19.510313      NaN   -37    19 c    0   2.56 186.44114 12.65885  6511.72  5811.50 4.00 3.60 -85.4 -0.441    19.50 21.49 02a57537o0262c
57537.371576 19.510313      NaN   -37    19 c    0   2.21 186.44114 12.65885  6473.82  5869.47 3.90 3.53 -88.0 -0.439    19.50 21.46 02a57537o0279c
57543.312746 19.351140      NaN   -21    22 c    0   1.75 186.44114 12.65885  6446.66  4550.20 4.04 3.82 -89.2 -0.460    19.50 21.52 02a57543o0203c
57543.325844 19.155932      NaN    13    22 c    0   1.98 186.44114 12.65885  6428.28  4512.28 3.97 3.84 -73.8 -0.457    19.50 21.52 02a57543o0227c
57543.353378 19.256669      NaN   -13    24 c    0   1.46 186.44114 12.65885  6509.19  4474.64 3.92 3.76 -81.3 -0.449    19.41 21.39 02a57543o0269c
57543.367626 18.978793      NaN    33    20 c    0   2.63 186.44114 12.65885  6474.61  4531.73 3.83 3.74 -80.7 -0.456    19.37 21.31 02a57543o0291c
57547.305177 18.720295      NaN    52    22 c    0   2.03 186.44114 12.65885  8999.89  4627.97 4.40 3.78  76.7 -0.457    19.51 21.54 02a57547o0142c
57547.317861 19.351140      NaN   -36    22 c    0   1.92 186.44114 12.65885  8984.78  4589.66 4.48 3.84  78.4 -0.431    19.51 21.56 02a57547o0165c
57574.262343 18.836735      NaN    28    26 c    0   1.58 186.44114 12.65885  5935.21  5700.84 4.02 3.65  82.6 -0.475    19.24 21.00 02a57574o0047c
57574.271998 18.921935      NaN    23    25 c    0   1.79 186.44114 12.65885  5915.86  5660.55 3.99 3.59  89.5 -0.463    19.38 21.28 02a57574o0066c
57574.284152 18.702047      NaN    45    25 c    0   1.68 186.44114 12.65885  5971.94  5736.94 3.98 3.61  88.6 -0.466    19.38 21.28 02a57574o0090c
57574.298256 19.302877      NaN   -23    23 c    0   1.95 186.44114 12.65885  5990.64  5620.10 3.98 3.69 -85.0 -0.456    19.34 21.24 02a57574o0118c
57574.311130 19.169763      NaN    -6    26 c    0   1.78 186.44114 12.65885  5954.90  5676.93 3.94 3.59 -86.4 -0.446    19.32 21.21 02a57574o0143c
57578.256339 18.729535      NaN   -66    39 c    0   1.87 186.44114 12.65885  8712.41  5456.53 4.32 3.59  83.9 -0.446    18.71 20.01 02a57578o0035c
57578.262327 19.128787      NaN   -62    27 c    0   3.12 186.44114 12.65885  8694.19  5417.94 4.36 3.77  83.8 -0.454    19.00 20.60 02a57578o0047c
57578.271867 19.169763      NaN   -13    26 c    0   2.05 186.44114 12.65885  8751.37  5496.21 4.36 3.69  83.4 -0.444    19.10 20.78 02a57578o0066c
57578.284046 18.921935      NaN     2    32 c    0   2.03 186.44114 12.65885  8772.06  5378.76 4.87 4.44  75.6 -0.410    18.96 20.76 02a57578o0090c
57578.298311 19.051202      NaN   -42    29 c    0   1.91 186.44114 12.65885  8733.85  5435.42 5.13 4.74  75.3 -0.404    18.86 20.70 02a57578o0118c
57756.679928 17.196897      NaN   -58   160 c    0   0.78 186.44114 12.65885  8545.09  4108.61 3.76 3.38 -83.6 -0.410    17.71 17.72 02a57756o0884c
57776.649799 18.900000      NaN    43    19 c    0   1.57 186.44114 12.65885  7101.29  4871.82 3.84 3.60  85.5 -0.380    19.67 21.60 02a57776o0833c
57776.665609 19.271854      NaN    20    17 c    0   2.39 186.44114 12.65885  7081.54  4831.45 3.87 3.59  87.0 -0.378    19.55 21.34 02a57776o0860c
57780.638408 19.631075      NaN   -38    17 c    0   1.76 186.44114 12.65885  6948.27  6397.07 3.66 3.45 -78.9 -0.433    19.82 21.85 02a57780o0801c
57780.663043 19.318728      NaN    14    18 c    0   1.80 186.44114 12.65885  6929.78  6358.70 3.75 3.52 -80.0 -0.419    19.69 21.62 02a57780o0845c
57784.617629 19.287255      NaN    16    18 c    0   2.09 186.44114 12.65885  8655.46  4586.70 3.93 3.61  86.6 -0.394    19.77 21.86 02a57784o0581c
57784.643590 19.367717      NaN    14    17 c    0   2.59 186.44114 12.65885  8639.99  4548.41 3.92 3.60  86.1 -0.394    19.75 21.83 02a57784o0627c
57784.665237 19.256669      NaN     9    21 c    0   1.76 186.44114 12.65885  8696.79  4626.35 4.01 3.75  86.6 -0.390    19.50 21.38 02a57784o0669c
57784.677735 17.558604      NaN    26   106 c    0   0.92 186.44114 12.65885  8717.94  4510.60 4.21 3.94  79.4 -0.387    17.95 18.60 02a57784o0688c
57804.582757 19.115465      NaN    16    22 c    0   2.14 186.44114 12.65885  5747.30  6899.51 3.92 3.77  84.1 -0.398    19.29 21.06 02a57804o0710c
57804.602543 19.256669      NaN   -61    24 c    0   1.67 186.44114 12.65885  5731.67  6859.32 3.66 3.54 -84.8 -0.424    19.47 21.21 02a57804o0749c
57804.619463 19.256669      NaN    -2    24 c    0   1.69 186.44114 12.65885  5789.06  6937.30 3.70 3.60  89.6 -0.419    19.42 21.14 02a57804o0778c
57804.633166 19.197966      NaN    10    22 c    0   2.35 186.44114 12.65885  5808.11  6819.61 3.69 3.55 -90.0 -0.414    19.40 21.08 02a57804o0804c
57804.650827 19.142275      NaN    17    21 c    0   3.01 186.44114 12.65885  5774.34  6876.05 3.66 3.62  73.3 -0.412    19.33 20.98 02a57804o0839c
57808.580492 19.351140      NaN   -30    22 c    0   1.84 186.44114 12.65885  5845.73  5642.79 3.68 3.50  85.8 -0.394    19.59 21.48 02a57808o0688c
57808.586360 19.155932      NaN    19    20 c    0   2.47 186.44114 12.65885  5829.01  5602.98 3.67 3.50  88.3 -0.396    19.46 21.34 02a57808o0699c
57808.606500 18.675237      NaN    48    25 c    0   1.11 186.44114 12.65885  5888.31  5678.67 3.67 3.50 -89.6 -0.396    19.61 21.48 02a57808o0739c
57808.627241 19.454622      NaN   -12    20 c    0   2.06 186.44114 12.65885  5909.76  5561.48 3.68 3.51  83.8 -0.396    19.56 21.41 02a57808o0777c
57808.628235 19.384550      NaN    10    18 c    0   2.29 186.44114 12.65885  5871.47  5619.09 3.67 3.50  87.1 -0.396    19.59 21.44 02a57808o0779c
57816.504300 19.631075      NaN   -43    17 c    0   1.64 186.44114 12.65885  8843.52  4146.14 3.83 3.50  89.2 -0.403    19.78 21.90 02a57816o0493c
57816.513548 18.990530      NaN    38    18 c    0   2.32 186.44114 12.65885  8823.75  4112.82 3.83 3.48  86.9 -0.401    19.78 21.89 02a57816o0511c
57816.515004 19.631075      NaN   -13    17 c    0   1.88 186.44114 12.65885  8880.36  4190.33 3.81 3.43  88.7 -0.407    19.78 21.90 02a57816o0514c
57816.535860 19.631075      NaN   -24    17 c    0   1.96 186.44114 12.65885  8898.13  4076.81 3.87 3.49  87.6 -0.403    19.76 21.88 02a57816o0553c
57816.547679 19.510313      NaN   -12    19 c    0   1.93 186.44114 12.65885  8860.73  4133.90 3.83 3.44  88.5 -0.405    19.77 21.87 02a57816o0574c
57836.506100 19.401649      NaN   -41    21 c    0   3.17 186.44114 12.65885  6218.47  5975.25 3.82 3.65  84.4 -0.389    18.96 20.80 02a57836o0523c
57836.523043 19.401649      NaN   -26    21 c    0   2.53 186.44114 12.65885  6198.96  5936.25 3.83 3.63  87.9 -0.392    18.93 20.72 02a57836o0554c
57836.538524 19.256669      NaN   -23    24 c    0   2.55 186.44114 12.65885  6256.23  6013.32 3.84 3.64  88.0 -0.392    18.86 20.64 02a57836o0582c
57836.575957 18.496580      NaN    52    31 c    0   2.04 186.44114 12.65885  6240.55  5952.14 4.15 3.95  84.9 -0.382    18.35 20.13 02a57836o0650c
57840.495204 19.351140      NaN    -6    22 c    0   2.35 186.44114 12.65885  6430.19  5548.15 3.95 3.82  83.3 -0.379    18.94 20.84 02a57840o0505c
57840.512991 19.302877      NaN   -60    23 c    0   2.32 186.44114 12.65885  6411.61  5511.47 3.81 3.62  85.2 -0.394    18.97 20.81 02a57840o0538c
