         MJD         m       dm      uJy   duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57495.374332 18.598565      NaN      -46     44 o    0    1.47 186.44598 12.66357  2856.13  4922.52  3.90  3.44 -45.7 -0.491    18.41 19.30 02a57495o0314o
57500.474076 17.313807      NaN      188     81 o    0    1.46 186.44598 12.66357  7646.01  5719.03  3.79  2.99  87.8 -0.506    17.81 18.19 02a57500o0496o
57500.493900 17.870951      NaN     -191     86 o    0    1.36 186.44598 12.66357  7629.70  5680.17  3.74  3.02  87.2 -0.488    17.82 18.18 02a57500o0535o
57500.518245 17.384047      NaN      128     92 o    0    1.32 186.44598 12.66357  7686.34  5757.21  3.84  3.10  86.9 -0.484    17.75 18.13 02a57500o0578o
57500.534825 17.858399      NaN     -354     87 o    0    1.55 186.44598 12.66357  7703.32  5641.55  3.89  3.22  85.0 -0.502    17.69 18.05 02a57500o0612o
57506.428188 19.089302      NaN      -90     28 o    0    2.26 186.44598 12.66357  7650.36  5717.74  3.93  3.43  84.8 -0.457    18.92 20.38 02a57506o0399o
57506.446843 18.878500      NaN      -55     34 o    0    2.48 186.44598 12.66357  7691.95  5680.61  4.03  3.60  86.0 -0.452    18.79 20.19 02a57506o0435o
57506.465182 18.878500      NaN     -154     34 o    0    2.24 186.44598 12.66357  7634.75  5661.55  4.06  3.70  83.4 -0.449    18.73 20.11 02a57506o0471o
57506.483351 18.816441      NaN      -58     36 o    0    2.70 186.44598 12.66357  7708.78  5740.54  4.04  3.62  84.9 -0.451    18.67 20.02 02a57506o0507o
57506.501552 18.675237      NaN     -226     41 o    0    2.45 186.44598 12.66357  7613.72  5758.69  4.28  3.99  83.8 -0.436    18.51 19.84 02a57506o0543o
57525.333647 18.459772      NaN     -253     50 o    0    1.87 186.44598 12.66357  8689.43  4903.78  4.13  3.48  78.9 -0.474    18.16 18.92 02a57525o0209o
57525.351777 18.417189      NaN       -3     52 o    0    1.79 186.44598 12.66357  8672.74  4872.38  4.08  3.47  79.0 -0.476    18.16 18.91 02a57525o0246o
57525.365475 18.191747      NaN      -29     64 o    0    1.46 186.44598 12.66357  8729.43  4951.24  4.00  3.18  83.8 -0.472    17.90 18.64 02a57525o0274o
57525.383917 18.063866      NaN     -181     72 o    0    1.12 186.44598 12.66357  8713.53  4894.96  3.94  3.23  84.4 -0.488    17.89 18.59 02a57525o0308o
57562.243811 16.509579      NaN      106    266 o    0    1.90 186.44598 12.66357  9028.25  7017.66  4.51  3.75  81.3 -0.501    17.47 17.78 02a57562o0025o
57562.247630 17.675104      NaN     -108    103 o    0    2.91 186.44598 12.66357  9009.62  6976.90  4.65  3.96  80.4 -0.509    17.94 18.75 02a57562o0032o
57562.254267 18.550302      NaN      -99     46 o    0    2.54 186.44598 12.66357  9066.20  7056.19  4.60  3.88  82.0 -0.497    18.61 20.03 02a57562o0044o
57562.263902 18.910912      NaN      -58     33 o    0    4.04 186.44598 12.66357  9103.09  6940.77  4.60  3.66  83.7 -0.484    18.98 20.74 02a57562o0062o
57562.274437 18.978793      NaN      -76     31 o    0    3.50 186.44598 12.66357  9046.07  6998.94  4.52  3.62  85.2 -0.488    19.04 20.83 02a57562o0081o
57566.243642 16.632816      NaN     -117    269 o    0    1.78 186.44598 12.66357  8824.98  5679.82  4.45  3.82  76.8 -0.477    17.05 17.02 02a57566o0032o
57566.246861 17.675104      NaN     -400    103 o    0    3.19 186.44598 12.66357  8808.10  5636.69  4.24  3.53  82.7 -0.508    17.71 18.16 02a57566o0038o
57566.252853 18.550302      NaN     -168     46 o    0    2.03 186.44598 12.66357  8864.05  5715.61  4.22  3.47  84.2 -0.478    18.57 19.81 02a57566o0049o
57566.262646 18.910912      NaN     -195     33 o    0    3.53 186.44598 12.66357  8883.10  5599.61  4.31  3.51  88.0 -0.488    18.97 20.60 02a57566o0066o
57570.269228 18.158337      NaN      -55     66 o    0    1.70 186.44598 12.66357  7827.33  5450.40  4.00  3.25  87.1 -0.518    18.07 19.61 02a57570o0069o
57570.280799 17.707197      NaN     -173    100 o    0    1.77 186.44598 12.66357  7807.94  5410.53  4.00  3.31  86.8 -0.509    17.47 18.93 02a57570o0092o
57570.294994 18.438271      NaN     -105     51 o    0    2.25 186.44598 12.66357  7865.85  5486.99  3.96  3.19  88.9 -0.505    18.29 19.84 02a57570o0120o
57570.307762 17.288904      NaN     -317    147 o    0    1.44 186.44598 12.66357  7886.92  5369.83  3.90  3.17  86.7 -0.510    16.89 18.27 02a57570o0145o
57570.320652 15.315975      NaN      770    648 o    0    1.20 186.44598 12.66357  7851.06  5426.51  3.86  3.06  87.0 -0.506    15.54 16.81 02a57570o0170o
57768.637186 18.786693      NaN     -113     37 o    0    1.94 186.44598 12.66357  8426.96  5063.24  3.70  3.35 -88.4 -0.426    18.59 19.47 02a57768o0839o
57768.652736 18.729535      NaN      -30     39 o    0    1.30 186.44598 12.66357  8405.28  5023.76  3.71  3.37 -86.7 -0.427    18.58 19.47 02a57768o0868o
