         MJD         m       dm      uJy   duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57205.272537 18.191747      NaN       36     52 o    0    1.05 186.43772 12.66691   147.61  5142.25  3.98  3.69 -86.4 -0.431    18.28 19.15 02a57205o0017o
57205.273313 18.298627      NaN      -27     58 o    0    1.19 186.43772 12.66691  8666.67  6112.63  4.03  3.46 -88.4 -0.414    18.32 19.24 02a57205o0018o
57205.281246 18.481707      NaN      -65     49 o    0    1.07 186.43772 12.66691   144.49  5141.36  3.95  3.63 -80.7 -0.425    18.27 19.10 02a57205o0029o
57205.281906 18.298627      NaN      -12     58 o    0    1.27 186.43772 12.66691  8663.73  6112.03  3.97  3.44 -89.4 -0.429    18.30 19.20 02a57205o0030o
57206.277034 18.438271      NaN      -91     51 o    0    1.12 186.43772 12.66691   126.28  5137.11  4.73  3.70 -47.1 -0.423    18.29 19.39 02a57206o0007o
57206.277692 18.336727      NaN       -1     56 o    0    1.73 186.43772 12.66691  8646.01  6107.69  4.47  3.65 -86.6 -0.463    18.32 19.47 02a57206o0008o
57206.285521 18.504094      NaN      -82     48 o    0    1.09 186.43772 12.66691   125.77  5137.99  4.79  3.73 -50.3 -0.420    18.21 19.28 02a57206o0019o
57206.286221 18.376212      NaN       -8     54 o    0    0.90 186.43772 12.66691  8644.15  6109.19  3.96  3.53 -74.4 -0.414    18.36 19.41 02a57206o0020o
57206.293975 18.396507      NaN      -87     53 o    0    0.93 186.43772 12.66691   123.51  5138.72  4.21  3.72  83.3 -0.422    18.25 19.24 02a57206o0031o
57206.294634 18.504094      NaN      -72     48 o    0    1.49 186.43772 12.66691  8642.34  6109.88  3.95  3.54 -82.6 -0.409    18.33 19.33 02a57206o0032o
57408.611772 18.786693      NaN       12     33 o    0    0.97 186.43772 12.66691  3238.91  4681.17  3.73  3.49 -55.8 -0.419    18.92 20.21 02a57408o0664o
57408.644373 18.933071      NaN        7     30 o    0    0.88 186.43772 12.66691  7206.66  5448.90  3.51  3.22  88.8 -0.441    19.23 20.79 02a57408o0713o
57408.657828 18.481707      NaN       48     33 o    0    0.88 186.43772 12.66691  8073.39  6615.74  3.51  3.09  89.5 -0.463    19.22 20.77 02a57408o0735o
57408.666682 18.910912      NaN      -46     33 o    0    0.85 186.43772 12.66691  8377.59  4876.89  3.49  3.13  88.0 -0.458    19.11 20.55 02a57408o0749o
