         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57400.613242 19.529530 0.329598    56    17 c    0   2.66 186.44598 12.66357  2700.98  5137.35 4.03 3.69 -53.3 -0.392    19.72 21.79 02a57400o0627c
57400.624477 19.569016      NaN   -42    18 c    0   2.34 186.44598 12.66357  2380.87  4543.88 4.32 3.87 -45.1 -0.386    19.69 21.83 02a57400o0644c
57400.652534 19.696897      NaN   -22    16 c    0   3.68 186.44598 12.66357  7364.29  4758.11 3.69 3.49  83.2 -0.395    19.76 21.85 02a57400o0681c
57400.657293 19.696897      NaN   -16    16 c    0   3.37 186.44598 12.66357  7069.71  6503.35 3.70 3.46  85.7 -0.401    19.73 21.80 02a57400o0686c
57401.613911 19.419021 0.262678    62    15 c    0   3.66 186.44598 12.66357  2686.22  5261.12 3.85 3.55 -57.6 -0.411    19.71 21.70 02a57401o0648c
57401.623243 19.014394      NaN    39    17 c    0   2.93 186.44598 12.66357  2379.88  4679.86 4.00 3.61 -45.9 -0.406    19.72 21.71 02a57401o0663c
57401.659813 19.589310      NaN     2    17 c    0   4.21 186.44598 12.66357  7182.50  6607.29 3.56 3.29  86.9 -0.419    19.70 21.62 02a57401o0710c
57436.385723 18.163834      NaN    68    43 c    0   1.49 186.44598 12.66357  3477.60  4850.66 4.32 3.96 -17.8 -0.371    18.37 19.52 02a57436o0284c
57436.399328 18.649074      NaN   -95    42 c    0   1.62 186.44598 12.66357  3756.51  5434.90 4.19 4.00 -28.3 -0.365    18.47 19.66 02a57436o0307c
57436.412962 18.362890      NaN    47    39 c    0   1.65 186.44598 12.66357  2600.81  6012.43 4.24 3.87 -18.8 -0.381    18.53 19.73 02a57436o0330c
57436.426564 18.615142      NaN    10    40 c    0   1.57 186.44598 12.66357  2337.65  5819.09 4.08 3.82 -52.8 -0.400    18.61 19.79 02a57436o0353c
57452.556641 19.384550 0.305363    64    18 c    0   2.41 186.44598 12.66357  7283.85  6218.43 3.72 3.39  83.5 -0.419    19.69 21.68 02a57452o0589c
57452.578980 19.569016      NaN   -22    18 c    0   2.19 186.44598 12.66357  6999.87  5637.97 3.67 3.44  83.0 -0.413    19.68 21.66 02a57452o0632c
57452.601243 19.334813      NaN    10    19 c    0   2.33 186.44598 12.66357  8171.66  5068.65 3.74 3.42  79.0 -0.429    19.60 21.50 02a57452o0675c
57452.623723 19.212347      NaN    18    19 c    0   2.13 186.44598 12.66357  8289.10  4859.40 3.76 3.46  74.1 -0.431    19.52 21.37 02a57452o0718c
57460.530352 19.569016      NaN   -29    18 c    0   2.53 186.44598 12.66357  7434.37  6004.12 3.74 3.56  71.2 -0.439    19.59 21.52 02a57460o0639c
57460.553859 19.183773      NaN    23    18 c    0   2.39 186.44598 12.66357  7129.98  5424.37 3.69 3.45  81.7 -0.421    19.60 21.51 02a57460o0682c
57460.577582 19.454622      NaN    -1    20 c    0   2.15 186.44598 12.66357  8305.14  4854.62 3.79 3.49  73.3 -0.434    19.59 21.50 02a57460o0725c
57460.599887 19.569016      NaN   -57    18 c    0   2.85 186.44598 12.66357  8286.13  4857.69 3.84 3.53  69.7 -0.427    19.52 21.39 02a57460o0768c
57480.487357 19.631075      NaN   -13    17 c    0   3.21 186.44598 12.66357  7135.51  6052.21 3.73 3.56  74.5 -0.426    19.63 21.61 02a57480o0556c
57480.510927 19.454622      NaN   -46    20 c    0   1.80 186.44598 12.66357  6830.08  5474.13 3.68 3.46  86.5 -0.417    19.59 21.49 02a57480o0601c
57480.534316 19.002397 0.286348    91    24 c    0   1.88 186.44598 12.66357  8004.97  4904.69 3.77 3.47  76.2 -0.428    19.41 21.16 02a57480o0646c
57480.557573 18.889197      NaN    32    23 c    0   2.08 186.44598 12.66357  8272.08  4851.71 3.78 3.45  74.0 -0.441    19.31 20.97 02a57480o0691c
57490.415473 19.401649      NaN   -49    21 c    0   1.75 186.44598 12.66357  7169.28  5891.47 5.11 4.02   1.7 -0.340    19.43 21.65 02a57490o0457c
57490.433011 19.609992      NaN     1    17 c    0   3.18 186.44598 12.66357  6887.23  5313.01 3.79 3.56  83.6 -0.389    19.65 21.66 02a57490o0487c
57490.452115 19.569016      NaN    -7    18 c    0   2.21 186.44598 12.66357  8038.14  4742.61 3.86 3.65  72.0 -0.393    19.59 21.58 02a57490o0519c
57490.471021 18.921935      NaN    44    18 c    0   2.45 186.44598 12.66357  8281.06  4842.74 3.79 3.47  81.4 -0.411    19.59 21.51 02a57490o0550c
57491.409300 18.131260      NaN    95    36 c    0   1.62 186.44598 12.66357  7589.54  5913.65 6.91 4.53   0.3 -0.366    18.61 20.72 02a57491o0366c
57491.427855 17.281543      NaN  -568   148 c    0   1.31 186.44598 12.66357  7284.31  5335.22 5.45 4.48  -0.7 -0.361    17.23 19.18 02a57491o0397c
57491.449734 18.967180      NaN    25    23 c    0   2.55 186.44598 12.66357  8461.81  4759.37 4.34 4.08  73.2 -0.386    19.18 21.18 02a57491o0434c
57491.465836 19.302877      NaN   -58    23 c    0   2.96 186.44598 12.66357  8281.48  4841.48 4.40 4.14  74.6 -0.380    19.15 21.14 02a57491o0461c
57510.430528 19.014394      NaN    33    19 c    0   3.53 186.44598 12.66357  7651.24  5719.17 4.32 4.05  80.1 -0.387    19.42 21.48 02a57510o0421c
57510.449623 19.351140      NaN   -69    22 c    0   3.13 186.44598 12.66357  7691.57  5681.59 4.57 4.35  80.8 -0.364    19.29 21.42 02a57510o0458c
57510.468028 19.569016      NaN    -4    18 c    0   2.72 186.44598 12.66357  7634.90  5662.17 4.04 3.79  81.1 -0.410    19.41 21.40 02a57510o0494c
57510.485858 18.776955      NaN    46    22 c    0   3.47 186.44598 12.66357  7709.83  5741.43 4.06 3.79  81.5 -0.416    19.34 21.30 02a57510o0529c
57510.502461 19.401649      NaN   -45    21 c    0   3.01 186.44598 12.66357  7615.10  5759.99 4.13 3.93  80.7 -0.402    19.24 21.18 02a57510o0562c
57537.326391 18.786693      NaN    48    21 c    0   2.91 186.44598 12.66357  6425.84  5898.81 4.07 3.64 -86.9 -0.457    19.52 21.55 02a57537o0204c
57537.337604 19.384550      NaN     1    21 c    0   2.65 186.44598 12.66357  6407.26  5860.38 4.04 3.64 -86.4 -0.462    19.51 21.53 02a57537o0226c
57537.348791 19.026525      NaN    14    25 c    0   2.17 186.44598 12.66357  6484.18  5936.56 3.98 3.57 -87.1 -0.455    19.51 21.50 02a57537o0244c
57537.360186 19.318728      NaN    11    19 c    0   3.99 186.44598 12.66357  6502.54  5820.58 4.00 3.60 -85.3 -0.441    19.50 21.49 02a57537o0262c
57537.371576 19.302877      NaN    -4    23 c    0   2.10 186.44598 12.66357  6464.64  5878.55 3.90 3.53 -88.0 -0.440    19.50 21.46 02a57537o0279c
57543.312746 19.510313      NaN   -91    19 c    0   3.08 186.44598 12.66357  6437.47  4559.29 4.04 3.82 -89.0 -0.460    19.50 21.52 02a57543o0203c
57543.325844 19.401649      NaN   -85    21 c    0   2.83 186.44598 12.66357  6419.10  4521.37 3.97 3.83 -73.7 -0.457    19.50 21.52 02a57543o0227c
57543.353378 19.351140      NaN    -5    22 c    0   2.74 186.44598 12.66357  6500.00  4483.73 3.92 3.76 -81.1 -0.449    19.41 21.39 02a57543o0269c
57543.367626 19.401649      NaN   -37    21 c    0   2.72 186.44598 12.66357  6465.43  4540.82 3.83 3.74 -80.5 -0.456    19.37 21.31 02a57543o0291c
