         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57400.613242 19.766969      NaN   -84    15 c    0   3.29 186.44456 12.66024  2698.24  5143.77 4.03 3.69 -53.3 -0.392    19.72 21.79 02a57400o0627c
57400.624477 19.472870      NaN     2    19 c    0   2.12 186.44456 12.66024  2378.13  4550.30 4.32 3.87 -45.1 -0.386    19.69 21.83 02a57400o0644c
57400.652534 19.631075      NaN   -73    17 c    0   3.52 186.44456 12.66024  7367.02  4751.68 3.69 3.49  83.2 -0.395    19.76 21.85 02a57400o0681c
57400.657293 19.302877      NaN    15    18 c    0   2.51 186.44456 12.66024  7072.42  6496.91 3.70 3.46  85.7 -0.401    19.73 21.80 02a57400o0686c
57401.613911 19.696897      NaN   -64    16 c    0   2.73 186.44456 12.66024  2683.48  5267.54 3.85 3.55 -57.7 -0.411    19.71 21.70 02a57401o0648c
57401.623243 19.334813      NaN    16    17 c    0   2.85 186.44456 12.66024  2377.14  4686.28 4.00 3.61 -45.9 -0.406    19.72 21.71 02a57401o0663c
57401.659813 18.836735      NaN    52    18 c    0   4.16 186.44456 12.66024  7185.21  6600.86 3.56 3.29  86.9 -0.419    19.70 21.62 02a57401o0710c
57436.385723 18.675237      NaN   -45    41 c    0   1.62 186.44456 12.66024  3474.88  4857.08 4.32 3.96 -17.9 -0.371    18.37 19.52 02a57436o0284c
57436.399328 18.729535      NaN   -30    39 c    0   1.80 186.44456 12.66024  3753.80  5441.32 4.19 4.00 -28.4 -0.365    18.47 19.66 02a57436o0307c
57436.412962 18.816441      NaN  -121    36 c    0   1.82 186.44456 12.66024  2598.07  6018.86 4.24 3.87 -18.8 -0.381    18.53 19.73 02a57436o0330c
57436.426564 18.757738      NaN     6    36 c    0   1.82 186.44456 12.66024  2334.90  5825.52 4.08 3.82 -52.8 -0.400    18.61 19.79 02a57436o0353c
57452.556641 19.436675      NaN    13    16 c    0   2.99 186.44456 12.66024  7286.57  6212.01 3.72 3.39  83.4 -0.419    19.69 21.68 02a57452o0589c
57452.578980 19.510313      NaN   -31    19 c    0   1.99 186.44456 12.66024  7002.59  5631.54 3.68 3.44  82.9 -0.413    19.68 21.66 02a57452o0632c
57452.601243 18.857417      NaN    44    20 c    0   2.24 186.44456 12.66024  8174.41  5062.22 3.74 3.42  79.0 -0.429    19.60 21.50 02a57452o0675c
57452.623723 19.529530      NaN     2    18 c    0   2.55 186.44456 12.66024  8291.85  4852.97 3.76 3.47  74.0 -0.432    19.52 21.37 02a57452o0718c
57460.530352 19.401649      NaN    -1    21 c    0   2.00 186.44456 12.66024  7437.09  5997.70 3.74 3.56  71.1 -0.439    19.59 21.52 02a57460o0639c
57460.553859 19.142275      NaN    20    20 c    0   2.11 186.44456 12.66024  7132.71  5417.94 3.69 3.45  81.6 -0.421    19.60 21.51 02a57460o0682c
57460.577582 19.419021      NaN     2    20 c    0   2.09 186.44456 12.66024  8307.89  4848.19 3.79 3.49  73.2 -0.434    19.59 21.50 02a57460o0725c
57460.599887 19.102305      NaN    20    21 c    0   2.38 186.44456 12.66024  8288.88  4851.26 3.84 3.53  69.6 -0.427    19.52 21.39 02a57460o0768c
57480.487357 19.287255 0.279189    70    18 c    0   2.81 186.44456 12.66024  7138.23  6045.78 3.74 3.56  74.5 -0.426    19.63 21.61 02a57480o0556c
57480.510927 19.510313      NaN   -21    19 c    0   2.00 186.44456 12.66024  6832.79  5467.71 3.68 3.46  86.5 -0.417    19.59 21.49 02a57480o0601c
57480.534316 18.955691      NaN    35    20 c    0   2.49 186.44456 12.66024  8007.71  4898.27 3.77 3.47  76.1 -0.428    19.41 21.16 02a57480o0646c
57480.557573 19.351140      NaN   -57    22 c    0   2.10 186.44456 12.66024  8274.83  4845.29 3.78 3.45  74.0 -0.441    19.31 20.97 02a57480o0691c
57490.415473 19.510313      NaN   -65    19 c    0   2.10 186.44456 12.66024  7172.00  5885.04 5.11 4.02   1.7 -0.340    19.43 21.65 02a57490o0457c
57490.433011 19.766969      NaN    -3    15 c    0   3.49 186.44456 12.66024  6889.95  5306.58 3.79 3.56  83.5 -0.389    19.65 21.66 02a57490o0487c
57490.452115 19.367717      NaN     5    20 c    0   1.86 186.44456 12.66024  8040.88  4736.18 3.86 3.65  72.0 -0.393    19.59 21.58 02a57490o0519c
57490.471021 19.419021      NaN     8    18 c    0   2.51 186.44456 12.66024  8283.81  4836.31 3.79 3.47  81.3 -0.411    19.59 21.51 02a57490o0550c
57491.409300 18.786693      NaN  -119    37 c    0   1.50 186.44456 12.66024  7592.26  5907.23 6.91 4.53   0.3 -0.365    18.61 20.72 02a57491o0366c
57491.427855 17.266969      NaN  -762   150 c    0   1.34 186.44456 12.66024  7287.04  5328.80 5.45 4.49  -0.7 -0.360    17.23 19.18 02a57491o0397c
57491.449734 19.212347      NaN  -151    25 c    0   1.92 186.44456 12.66024  8464.56  4752.94 4.34 4.08  73.1 -0.386    19.18 21.18 02a57491o0434c
57491.465836 19.351140      NaN  -129    22 c    0   2.63 186.44456 12.66024  8284.24  4835.05 4.40 4.14  74.5 -0.380    19.15 21.14 02a57491o0461c
57510.430528 19.454622      NaN   -38    20 c    0   3.14 186.44456 12.66024  7653.97  5712.75 4.32 4.05  80.0 -0.386    19.42 21.48 02a57510o0421c
