         MJD         m       dm      uJy   duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57205.272537 17.990970      NaN       87     48 o    0    1.95 186.44456 12.66024   134.39  5129.38  3.98  3.69 -86.4 -0.431    18.28 19.15 02a57205o0017o
57205.273313 18.120615      NaN       49     52 o    0    2.30 186.44456 12.66024  8653.77  6099.56  4.03  3.46 -88.4 -0.414    18.32 19.24 02a57205o0018o
57205.281246 18.424171      NaN       17     46 o    0    2.11 186.44456 12.66024   131.27  5128.50  3.95  3.63 -80.8 -0.424    18.27 19.10 02a57205o0029o
57205.281906 18.043943      NaN       52     56 o    0    2.57 186.44456 12.66024  8650.83  6098.96  3.97  3.44 -89.4 -0.428    18.30 19.20 02a57205o0030o
57206.277034 17.958558      NaN       55     61 o    0    1.18 186.44456 12.66024   113.05  5124.25  4.74  3.71 -47.1 -0.423    18.29 19.39 02a57206o0007o
57206.277692 18.317510      NaN     -105     57 o    0    2.62 186.44456 12.66024  8633.11  6094.63  4.46  3.64 -86.5 -0.463    18.32 19.47 02a57206o0008o
57206.285521 17.879400      NaN       40     72 o    0    0.87 186.44456 12.66024   112.54  5125.13  4.80  3.74 -50.2 -0.419    18.21 19.28 02a57206o0019o
57206.286221 18.623526      NaN      -51     43 o    0    3.08 186.44456 12.66024  8631.25  6096.13  3.96  3.53 -74.4 -0.415    18.36 19.41 02a57206o0020o
57206.293975 18.152867      NaN       10     63 o    0    1.09 186.44456 12.66024   110.28  5125.86  4.21  3.72  83.3 -0.422    18.25 19.24 02a57206o0031o
57206.294634 18.084160      NaN       62     50 o    0    2.48 186.44456 12.66024  8629.44  6096.82  3.95  3.54 -82.6 -0.409    18.33 19.33 02a57206o0032o
57408.611772 18.978793      NaN     -122     31 o    0    1.83 186.44456 12.66024  3251.77  4694.17  3.73  3.49 -56.1 -0.419    18.92 20.21 02a57408o0664o
57408.644373 19.128787      NaN     -191     27 o    0    3.20 186.44456 12.66024  7193.80  5435.92  3.51  3.22  88.8 -0.441    19.23 20.79 02a57408o0713o
57408.657828 19.014394      NaN      -51     30 o    0    3.41 186.44456 12.66024  8060.50  6602.70  3.51  3.09  89.5 -0.462    19.22 20.77 02a57408o0735o
57408.666682 18.511660      NaN       41     34 o    0    1.94 186.44456 12.66024  8364.73  4863.87  3.49  3.13  88.0 -0.458    19.11 20.55 02a57408o0749o
57445.563694 18.286218      NaN       80     32 o    0    2.12 186.44456 12.66024  7161.17  6115.10  3.53  3.04  89.7 -0.474    18.71 19.75 02a57445o0698o
57445.586278 18.786693      NaN     -211     37 o    0    2.57 186.44456 12.66024  6859.15  5536.25  3.48  3.15  89.3 -0.474    18.70 19.74 02a57445o0739o
57445.608905 18.786693      NaN      -23     37 o    0    1.68 186.44456 12.66024  8029.39  4966.04  3.60  3.19  82.3 -0.466    18.65 19.65 02a57445o0780o
57445.632046 18.702047      NaN     -103     40 o    0    1.62 186.44456 12.66024  8295.32  4854.51  3.69  3.25  81.3 -0.475    18.59 19.57 02a57445o0821o
57464.507958 18.944322      NaN      -74     32 o    0    1.54 186.44456 12.66024  7197.04  5715.92  3.75  3.22  87.2 -0.455    19.05 20.64 02a57464o0603o
57464.530868 19.089302      NaN      -88     28 o    0    2.53 186.44456 12.66024  6912.13  5135.53  3.62  3.31 -88.0 -0.472    19.26 21.00 02a57464o0646o
57464.553603 19.051202      NaN     -122     29 o    0    1.96 186.44456 12.66024  8064.28  4564.56  3.80  3.40  80.0 -0.454    19.24 20.98 02a57464o0689o
57464.575983 19.089302      NaN      -39     28 o    0    2.43 186.44456 12.66024  8291.96  4840.73  3.85  3.47  77.7 -0.455    19.14 20.85 02a57464o0732o
57472.511181 17.944957      NaN       88     51 o    0    1.72 186.44456 12.66024  7246.30  6069.87  3.63  2.93  88.8 -0.493    18.15 18.77 02a57472o0569o
57472.531700 18.298627      NaN     -131     58 o    0    1.56 186.44456 12.66024  6947.43  5489.67  3.58  3.11 -88.8 -0.468    18.13 18.75 02a57472o0604o
57472.552664 17.755295      NaN      119     56 o    0    1.34 186.44456 12.66024  8125.52  4918.91  3.78  3.31  82.2 -0.469    18.05 18.65 02a57472o0638o
57472.569083 18.208845 0.327444      189     57 o    0    1.37 186.44456 12.66024  8282.46  4845.50  3.80  3.27  84.5 -0.479    18.02 18.61 02a57472o0663o
57476.483631 19.051202      NaN     -100     29 o    0    2.06 186.44456 12.66024  7517.70  5742.85  3.69  3.19  86.4 -0.469    18.95 20.36 02a57476o0538o
57476.505731 18.978793      NaN      -76     31 o    0    1.54 186.44456 12.66024  7214.04  5162.48  3.87  3.66  79.3 -0.438    18.85 20.32 02a57476o0581o
57476.527901 18.944322      NaN     -106     32 o    0    2.15 186.44456 12.66024  8389.90  4591.59  3.79  3.40  73.0 -0.471    18.91 20.28 02a57476o0624o
57476.550240 18.675237      NaN       12     37 o    0    1.76 186.44456 12.66024  8275.05  4845.44  4.64  4.11  21.1 -0.391    18.60 20.12 02a57476o0667o
57493.413817 18.944322      NaN      -41     32 o    0    1.98 186.44456 12.66024  7345.19  5810.25  3.69  3.32  83.2 -0.464    18.86 20.16 02a57493o0393o
57493.418365 19.051202      NaN      -48     29 o    0    2.75 186.44456 12.66024  7064.91  5226.38  3.65  3.36  87.1 -0.458    18.84 20.13 02a57493o0402o
57493.438574 18.878500      NaN     -157     34 o    0    2.15 186.44456 12.66024  8222.17  4652.07  3.72  3.22  81.5 -0.458    18.84 20.09 02a57493o0443o
57493.463760 18.847027      NaN      -20     35 o    0    1.96 186.44456 12.66024  8283.53  4835.56  3.82  3.34  83.6 -0.452    18.82 20.09 02a57493o0493o
57495.329271 18.504094      NaN       21     41 o    0    2.56 186.44456 12.66024  2914.24  4853.59  3.89  3.42 -41.8 -0.490    18.41 19.30 02a57495o0227o
57495.341376 18.729535      NaN     -244     39 o    0    2.40 186.44456 12.66024  2932.31  4888.92  3.87  3.43 -49.8 -0.496    18.42 19.32 02a57495o0250o
57495.360512 18.459772      NaN       -8     50 o    0    2.12 186.44456 12.66024  2872.69  4810.30  4.26  3.74 -51.2 -0.458    18.22 19.22 02a57495o0286o
57495.360990 18.649074      NaN      -32     42 o    0    2.25 186.44456 12.66024  2872.76  4810.37  4.16  3.79 -46.9 -0.456    18.34 19.34 02a57495o0287o
57495.374332 18.702047      NaN     -158     40 o    0    1.83 186.44456 12.66024  2853.39  4928.94  3.90  3.44 -45.8 -0.491    18.41 19.30 02a57495o0314o
57500.474076 17.555452      NaN       96     83 o    0    1.60 186.44456 12.66024  7648.75  5712.61  3.79  2.99  87.7 -0.505    17.81 18.19 02a57500o0496o
57500.493900 17.896499      NaN      -35     84 o    0    1.36 186.44456 12.66024  7632.43  5673.75  3.74  3.02  87.2 -0.488    17.82 18.18 02a57500o0535o
57500.518245 17.368040      NaN      143     89 o    0    1.39 186.44456 12.66024  7689.07  5750.78  3.84  3.10  86.8 -0.484    17.75 18.13 02a57500o0578o
57500.534825 17.821591      NaN      -33     90 o    0    1.55 186.44456 12.66024  7706.05  5635.12  3.89  3.22  84.9 -0.502    17.69 18.05 02a57500o0612o
57506.428188 19.051202      NaN      -20     29 o    0    2.33 186.44456 12.66024  7653.09  5711.31  3.93  3.43  84.7 -0.457    18.92 20.38 02a57506o0399o
57506.446843 18.878500      NaN     -206     34 o    0    2.15 186.44456 12.66024  7694.68  5674.19  4.03  3.60  85.9 -0.451    18.79 20.19 02a57506o0435o
57506.465182 18.944322      NaN     -160     32 o    0    2.48 186.44456 12.66024  7637.48  5655.12  4.06  3.70  83.3 -0.449    18.73 20.11 02a57506o0471o
57506.483351 18.978793      NaN     -142     31 o    0    3.14 186.44456 12.66024  7711.51  5734.12  4.04  3.62  84.9 -0.451    18.67 20.02 02a57506o0507o
57506.501552 18.675237      NaN     -255     41 o    0    2.27 186.44456 12.66024  7616.45  5752.26  4.28  3.99  83.8 -0.436    18.51 19.84 02a57506o0543o
57525.333647 18.417189      NaN     -130     52 o    0    1.79 186.44456 12.66024  8692.19  4897.34  4.13  3.48  78.9 -0.473    18.16 18.92 02a57525o0209o
57525.351777 18.396507      NaN     -102     53 o    0    1.71 186.44456 12.66024  8675.50  4865.95  4.08  3.47  79.0 -0.476    18.16 18.91 02a57525o0246o
57525.365475 17.935984      NaN       48     65 o    0    1.29 186.44456 12.66024  8732.19  4944.81  4.00  3.18  83.8 -0.472    17.90 18.64 02a57525o0274o
57525.383917 18.094452      NaN      -79     70 o    0    1.19 186.44456 12.66024  8716.29  4888.53  3.94  3.23  84.4 -0.488    17.89 18.59 02a57525o0308o
57562.243811 16.721068      NaN     -382    248 o    0    2.23 186.44456 12.66024  9031.00  7011.22  4.51  3.75  81.3 -0.501    17.47 17.78 02a57562o0025o
57562.247630 17.555452      NaN     -329    115 o    0    2.13 186.44456 12.66024  9012.37  6970.46  4.65  3.96  80.4 -0.509    17.94 18.75 02a57562o0032o
57562.254267 18.623526      NaN     -223     43 o    0    2.97 186.44456 12.66024  9068.95  7049.75  4.60  3.88  82.0 -0.497    18.61 20.03 02a57562o0044o
57562.263902 18.910912      NaN     -144     33 o    0    3.49 186.44456 12.66024  9105.84  6934.33  4.60  3.66  83.7 -0.484    18.98 20.74 02a57562o0062o
57562.274437 19.089302      NaN     -241     28 o    0    3.64 186.44456 12.66024  9048.82  6992.50  4.52  3.61  85.1 -0.488    19.04 20.83 02a57562o0081o
57566.243642 16.570085      NaN      -89    285 o    0    1.73 186.44456 12.66024  8827.74  5673.39  4.45  3.82  76.8 -0.477    17.05 17.02 02a57566o0032o
57566.246861 17.623637      NaN     -359    108 o    0    3.05 186.44456 12.66024  8810.86  5630.26  4.24  3.53  82.7 -0.508    17.71 18.16 02a57566o0038o
57566.252853 18.675237      NaN     -145     41 o    0    2.52 186.44456 12.66024  8866.81  5709.18  4.22  3.47  84.2 -0.477    18.57 19.81 02a57566o0049o
57566.262646 18.910912      NaN     -216     33 o    0    3.12 186.44456 12.66024  8885.86  5593.18  4.31  3.51  88.0 -0.488    18.97 20.60 02a57566o0066o
57570.269228 18.261819      NaN     -130     60 o    0    1.71 186.44456 12.66024  7830.07  5443.97  4.00  3.25  87.1 -0.518    18.07 19.61 02a57570o0069o
57570.280799 17.696393      NaN     -312    101 o    0    1.59 186.44456 12.66024  7810.68  5404.10  4.00  3.32  86.8 -0.509    17.47 18.93 02a57570o0092o
57570.294994 18.459772      NaN     -214     50 o    0    2.00 186.44456 12.66024  7868.59  5480.56  3.96  3.19  88.9 -0.505    18.29 19.84 02a57570o0120o
57570.307762 16.901649      NaN      120    170 o    0    1.27 186.44456 12.66024  7889.65  5363.40  3.90  3.17  86.7 -0.510    16.89 18.27 02a57570o0145o
57570.320652 15.616387      NaN     -785    686 o    0    1.04 186.44456 12.66024  7853.80  5420.08  3.86  3.06  87.0 -0.506    15.54 16.81 02a57570o0170o
57768.637186 18.125925      NaN       96     36 o    0    1.98 186.44456 12.66024  8429.71  5056.81  3.70  3.35 -88.4 -0.426    18.59 19.47 02a57768o0839o
57768.652736 18.786693      NaN      -47     37 o    0    1.43 186.44456 12.66024  8408.03  5017.33  3.72  3.37 -86.7 -0.427    18.58 19.47 02a57768o0868o
57768.669790 18.702047      NaN      -73     40 o    0    1.78 186.44456 12.66024  8466.87  5101.69  3.92  3.78   8.2 -0.400    18.46 19.38 02a57768o0898o
57788.606078 19.401649      NaN      -84     21 o    0    4.96 186.44456 12.66024  6016.19  7245.26  3.44  3.29  89.2 -0.460    19.55 21.28 02a57788o0755o
57788.619491 19.128787      NaN       18     21 o    0    4.72 186.44456 12.66024  5995.52  7205.04  3.47  3.31  87.8 -0.453    19.52 21.23 02a57788o0781o
57788.640542 19.302877      NaN     -223     23 o    0    3.97 186.44456 12.66024  6056.18  7284.34  3.49  3.36 -87.2 -0.448    19.50 21.22 02a57788o0820o
57788.657012 19.089302      NaN       12     24 o    0    4.34 186.44456 12.66024  6075.08  7166.12  3.46  3.28 -86.5 -0.459    19.47 21.12 02a57788o0850o
57788.674214 18.079051      NaN     -255     71 o    0    1.82 186.44456 12.66024  6039.25  7225.44  3.56  3.49  12.7 -0.441    18.37 19.08 02a57788o0879o
57792.603788 19.051202      NaN      -60     29 o    0    2.50 186.44456 12.66024  8463.33  4007.10  3.76  3.31  88.1 -0.423    18.88 20.01 02a57792o0015o
57792.626147 19.014394      NaN     -106     30 o    0    2.20 186.44456 12.66024  8442.51  3968.59  3.77  3.23  88.6 -0.439    19.16 20.58 02a57792o0052o
57792.643328 19.051202      NaN     -213     29 o    0    2.22 186.44456 12.66024  8500.75  4046.69  3.84  3.35  86.3 -0.432    19.23 20.77 02a57792o0080o
57792.661914 18.944322      NaN      -33     32 o    0    2.09 186.44456 12.66024  8523.48  3931.15  3.76  3.30  87.6 -0.435    18.96 20.36 02a57792o0109o
57800.597794 18.847027      NaN     -240     35 o    0    2.36 186.44456 12.66024  5858.92  6766.70  3.40  3.29 -81.6 -0.474    18.88 19.95 02a57800o0565o
57800.612619 18.729535      NaN     -221     39 o    0    2.86 186.44456 12.66024  5840.23  6726.06  3.36  3.23 -75.6 -0.477    18.93 20.03 02a57800o0590o
57800.629152 18.944322      NaN      -79     32 o    0    3.06 186.44456 12.66024  5898.20  6802.67  3.48  3.35 -82.9 -0.461    18.89 20.00 02a57800o0623o
57800.645249 18.847027      NaN     -155     35 o    0    2.49 186.44456 12.66024  5920.66  6686.10  3.68  3.57   8.9 -0.421    18.79 19.94 02a57800o0655o
57804.618801 16.547464      NaN      432    147 o    0    1.43 186.44456 12.66024  4091.29  3117.56  4.20  4.01 -84.4 -0.622    17.46 18.85 01a57804o0667o
57804.633190 17.740268      NaN     -309     97 o    0    1.40 186.44456 12.66024  4112.67  3156.13  4.24  4.05 -80.3 -0.608    17.84 19.32 01a57804o0695o
57804.646562 17.870951      NaN    -1036     86 o    0    5.25 186.44456 12.66024  4056.10  3078.95  4.04  3.86 -75.7 -0.659    18.05 19.55 01a57804o0721o
57804.661034 14.970146      NaN   -28436   1244 o    0    3.01 186.44456 12.66024  4039.20  3193.82  4.22  4.02 -77.2 -0.673    15.42 16.31 01a57804o0749o
57806.612514 18.702047      NaN     -354     40 o    0    3.40 186.44456 12.66024  2883.69  4715.01  4.39  4.10 -78.0 -0.536    18.80 20.60 01a57806o0775o
57806.626380 18.623526      NaN     -316     43 o    0    2.18 186.44456 12.66024  2905.18  4752.98  4.39  4.12 -78.9 -0.534    18.78 20.57 01a57806o0802o
57806.640082 18.598565      NaN     -284     44 o    0    2.66 186.44456 12.66024  2847.87  4675.79  4.41  4.14 -79.7 -0.518    18.77 20.55 01a57806o0829o
57806.653942 18.396507      NaN     -239     53 o    0    1.83 186.44456 12.66024  2829.24  4791.24  4.57  4.38 -78.9 -0.531    18.62 20.38 01a57806o0856o
57808.622139 18.675237      NaN     -409     41 o    0    2.86 186.44456 12.66024  1856.34  4197.66  4.94  4.59 -79.2 -0.488    18.75 20.74 01a57808o0695o
57808.635526 18.014729      NaN       82     48 o    0    1.81 186.44456 12.66024  1800.18  4120.04  4.84  4.53 -83.9 -0.490    18.77 20.72 01a57808o0721o
57808.649358 18.598565      NaN    -1071     44 o    0    7.30 186.44456 12.66024  1782.42  4234.97  4.90  4.53 -83.6 -0.490    18.67 20.57 01a57808o0748o
57816.582158 18.910912      NaN     -240     33 o    0    2.41 186.44456 12.66024  4747.91  5538.38  3.51  3.36 -67.9 -0.474    19.23 21.28 01a57816o0717o
57816.596386 19.014394      NaN     -207     30 o    0    3.26 186.44456 12.66024  4767.68  5577.24  3.39  3.25 -67.5 -0.482    19.25 21.27 01a57816o0745o
57816.611089 18.910912      NaN     -258     33 o    0    2.63 186.44456 12.66024  4710.25  5500.00  3.42  3.22 -69.2 -0.473    19.23 21.22 01a57816o0774o
57816.625152 18.944322      NaN     -269     32 o    0    2.93 186.44456 12.66024  4693.42  5615.44  3.62  3.41 -70.5 -0.470    19.17 21.21 01a57816o0802o
57818.575974 18.816441      NaN     -550     36 o    0    2.78 186.44456 12.66024  4719.34  4825.49  4.13  3.73 -57.0 -0.456    19.18 21.39 01a57818o0710o
57818.590204 19.089302      NaN     -449     28 o    0    2.86 186.44456 12.66024  4739.89  4864.03  4.03  3.67 -51.2 -0.463    19.18 21.37 01a57818o0738o
57818.604888 18.847027      NaN     -344     35 o    0    2.44 186.44456 12.66024  4683.75  4787.13  4.07  3.74 -51.4 -0.473    19.09 21.25 01a57818o0767o
57818.618446 18.757738      NaN     -591     38 o    0    2.41 186.44456 12.66024  4665.54  4902.51  4.14  3.80 -45.8 -0.476    19.05 21.21 01a57818o0794o
57820.551535 17.593889      NaN     -731    111 o    0    1.21 186.44456 12.66024  2741.44  5235.30  3.85  3.58 -77.0 -0.505    17.60 18.62 01a57820o0684o
57820.579730 17.414019      NaN     -704    131 o    0    1.81 186.44456 12.66024  2704.21  5196.48  4.22  3.84 -76.2 -0.469    17.54 19.49 01a57820o0740o
57820.593717 16.372132      NaN    -6163    342 o    0    6.70 186.44456 12.66024  2687.02  5312.10  4.21  3.87 -79.5 -0.526    16.78 18.74 01a57820o0768o
57828.527454 18.438271      NaN     -111     51 o    0    2.75 186.44456 12.66024  6735.78  7221.60  3.59  3.30  88.8 -0.453    18.17 19.02 02a57828o0584o
57828.541809 18.526952      NaN     -274     47 o    0    2.61 186.44456 12.66024  4637.01  5598.86  3.80  3.43 -60.0 -0.461    18.49 19.82 01a57828o0645o
57828.543880 18.336727      NaN     -167     56 o    0    3.41 186.44456 12.66024  6718.69  7183.18  3.54  3.25 -88.8 -0.460    18.17 19.00 02a57828o0614o
57828.555363 18.481707      NaN     -170     49 o    0    2.37 186.44456 12.66024  4657.81  5638.00  3.67  3.33 -53.2 -0.476    18.49 19.76 01a57828o0672o
57828.560786 18.396507      NaN      -90     53 o    0    3.72 186.44456 12.66024  6779.02  7260.20  3.60  3.34  89.9 -0.449    18.12 18.96 02a57828o0645o
57828.568879 18.649074      NaN     -197     42 o    0    3.10 186.44456 12.66024  4599.02  5560.93  3.92  3.58 -53.7 -0.450    18.42 19.74 01a57828o0699o
57828.574857 18.526952      NaN     -207     47 o    0    4.59 186.44456 12.66024  6798.43  7143.14  3.64  3.35 -88.9 -0.446    18.10 18.94 02a57828o0670o
57828.582351 18.356290      NaN     -505     55 o    0    2.67 186.44456 12.66024  4581.37  5676.75  4.16  3.77 -56.8 -0.441    18.31 19.63 01a57828o0726o
57828.592795 18.376212      NaN     -109     54 o    0    4.91 186.44456 12.66024  6763.23  7198.84  3.84  3.58 -89.9 -0.424    18.00 18.87 02a57828o0707o
57830.537540 18.757738      NaN     -509     38 o    0    2.86 186.44456 12.66024  3405.59  3931.77  3.72  3.29 -81.3 -0.465    18.80 20.34 01a57830o0629o
57830.551610 18.816441      NaN     -385     36 o    0    2.34 186.44456 12.66024  3427.02  3970.34  3.73  3.29 -75.9 -0.461    18.77 20.30 01a57830o0657o
57830.565114 18.757738      NaN     -575     38 o    0    2.78 186.44456 12.66024  3368.19  3893.42  3.77  3.26 -77.7 -0.471    18.76 20.25 01a57830o0684o
57830.579164 18.574166      NaN     -426     45 o    0    2.22 186.44456 12.66024  3350.88  4008.12  3.91  3.38 -76.9 -0.471    18.70 20.19 01a57830o0712o
57832.516573 19.212347      NaN     -114     25 o    0    4.28 186.44456 12.66024  9359.16  7229.95  3.49  3.00 -75.3 -0.432    18.63 19.93 02a57832o0567o
57832.518520 18.598565      NaN     -307     44 o    0    1.75 186.44456 12.66024  2308.70  5569.05  3.83  3.46 -86.4 -0.474    19.01 20.75 01a57832o0600o
57832.533020 18.786693      NaN     -561     37 o    0    4.31 186.44456 12.66024  2330.27  5606.89  4.01  3.59 -84.9 -0.462    18.97 20.71 01a57832o0629o
57832.533953 19.051202      NaN     -142     29 o    0    4.11 186.44456 12.66024  9339.46  7190.20  3.55  3.04 -78.3 -0.428    18.60 19.89 02a57832o0598o
57832.547521 18.574166      NaN     -511     45 o    0    2.56 186.44456 12.66024  2273.12  5529.89  4.17  3.72 -86.2 -0.513    18.91 20.66 01a57832o0658o
57832.551345 19.014394      NaN      -64     30 o    0    5.45 186.44456 12.66024  9397.76  7267.60  3.46  2.94 -78.2 -0.437    18.61 19.86 02a57832o0630o
57832.561955 18.675237      NaN     -650     41 o    0    3.63 186.44456 12.66024  2255.55  5645.74  4.19  3.73 -85.3 -0.460    18.93 20.65 01a57832o0687o
57832.571997 19.051202      NaN      -93     29 o    0    5.35 186.44456 12.66024  9419.43  7149.81  3.67  3.53 -71.7 -0.468    18.47 19.78 02a57832o0669o
57833.519973 18.598565      NaN     -613     44 o    0    3.81 186.44456 12.66024  1585.28  3073.67  4.17  3.31 -84.7 -0.501    19.05 20.76 01a57833o0604o
57833.534562 18.550302      NaN     -464     46 o    0    2.80 186.44456 12.66024  1606.99  3111.78  4.20  3.37 -84.3 -0.508    19.01 20.72 01a57833o0633o
57833.549108 18.598565      NaN     -360     44 o    0    3.85 186.44456 12.66024  1550.62  3033.76  4.24  3.41 -85.1 -0.508    19.01 20.71 01a57833o0662o
57833.563598 18.649074      NaN     -468     42 o    0    3.58 186.44456 12.66024  1533.29  3150.16  4.42  3.59 -84.4 -0.488    18.96 20.65 01a57833o0691o
57834.517830 18.786693      NaN     -474     37 o    0    3.64 186.44456 12.66024  1942.96  3847.65  4.08  3.47 -83.4 -0.486    19.13 21.05 01a57834o0451o
57834.532893 18.847027      NaN     -136     35 o    0    2.27 186.44456 12.66024  1963.81  3884.47  4.29  3.53 -83.5 -0.490    19.09 20.96 01a57834o0481o
57834.547425 18.816441      NaN     -492     36 o    0    2.99 186.44456 12.66024  1907.68  3807.08  4.31  3.60 -83.3 -0.505    19.06 20.88 01a57834o0510o
57834.562089 18.816441      NaN     -250     36 o    0    2.59 186.44456 12.66024  1891.24  3922.69  4.44  3.74 -85.0 -0.508    19.01 20.85 01a57834o0539o
57837.506993 18.675237      NaN     -747     41 o    0    3.52 186.44456 12.66024  1097.40  4492.00  5.01  4.13  87.3 -0.437    19.02 20.95 01a57837o0416o
57837.522139 18.504094      NaN     -610     48 o    0    2.87 186.44456 12.66024  1118.33  4529.83  4.84  4.02  85.6 -0.429    19.12 21.09 01a57837o0445o
57837.536217 18.649074      NaN     -458     42 o    0    2.67 186.44456 12.66024  1060.77  4452.25  4.90  4.12  85.5 -0.401    19.09 21.03 01a57837o0472o
57837.551419 18.459772      NaN    -1035     50 o    0    3.45 186.44456 12.66024  1044.09  4567.49  4.91  4.15  82.5 -0.367    19.03 20.93 01a57837o0501o
57838.501843 18.978793      NaN     -586     31 o    0    4.05 186.44456 12.66024  3631.66  4048.33  4.15  3.61 -72.5 -0.438    19.18 21.25 01a57838o0477o
57838.517037 18.944322      NaN     -550     32 o    0    4.37 186.44456 12.66024  3652.86  4086.60  4.33  3.77 -71.6 -0.423    19.10 21.18 01a57838o0506o
57838.531679 18.944322      NaN     -639     32 o    0    4.52 186.44456 12.66024  3597.21  4009.43  4.32  3.73 -72.2 -0.429    19.10 21.14 01a57838o0534o
